,swiss_bonds,swiss_bonds_1_5,swiss_equity,sli,spi_extra,world_equity,world_small,em_equity,real_estate,world_bonds,world_bonds_1_5
2016-01-31,136.77,120.12285742593876,182.53759629612355,164.13768961493582,270.92080438083843,166.802432153029,200.04318478342702,200.95041588571672,229.6021761305678,171.6651392280903,109.29723138518123
2016-02-29,138.44,120.50926384623004,174.87800017807095,157.37171360391898,270.6953200496986,157.41827868089678,191.4474620599718,190.69050691717027,234.04964297857867,173.0835269464934,109.47695998506563
2016-03-31,137.49,120.07331814128604,176.30320400574914,159.62340870625584,280.5071096590125,156.1163196576317,192.75742005557436,200.43721193375666,236.61339680380823,174.18060763983493,109.61816112817925
2016-04-30,137.16,120.04359457049438,181.60738740190195,164.91843535484142,282.95706594266255,164.27093737111215,204.31167800927176,208.75433152482384,243.86943216592996,174.2484754511723,109.62233162607713
2016-05-31,137.64,120.07331814128604,188.403551244165,168.99789754748912,294.10427499884963,169.33451624322976,211.8676189673078,205.96198287640877,241.8701122067324,174.77913238186292,109.5751652808036
2016-06-30,139.7,120.57861884474389,183.58736713572824,160.01225729813828,284.23174267175926,163.49329749120162,202.96532608366698,209.23092933279017,242.67936076164568,177.77066624393774,110.07602221882402
2016-07-31,139.54,120.34083027841076,187.14836280690744,164.04635907786434,295.8860613869587,171.8383869673449,215.93901122323965,222.15047345995376,243.40020401224072,178.46579115538756,110.01952190206478
2016-08-31,139.18,120.2813831368275,189.005176777848,168.94730202781545,299.7910818646174,171.58819140461588,215.71968384478208,227.18670620106684,244.0530431825909,178.0504599654221,109.83145230638462
2016-09-30,139.49,120.4101852769246,188.3153637099817,168.49838636769795,303.1236482444434,174.7729550961349,221.83248902252893,233.20301214100206,244.81468888133287,177.6911073351729,109.84346731223327
2016-10-31,138.11,120.16248885366095,181.85923064855996,166.17041428826727,298.183240531959,174.9545760342068,218.0821453086353,238.64589504590234,241.3872832369942,175.60355290469278,109.48768412251731
2016-11-30,136.35,120.10304171207767,182.80851857661926,170.44990381279763,298.6231650637339,187.3303062325668,239.7689425904157,240.3007438936628,239.2587555253315,172.34243026210848,108.70938977671946
2016-12-31,136.23,120.04359457049438,190.06321519878233,176.3547678366815,305.0149555933919,193.6184704049349,247.81509450755058,243.30550560233496,243.59061543692619,172.37859340245612,108.65715925542709
2017-01-31,135.96,120.13276528286931,192.13265440238106,179.69953851167386,311.3137913579679,188.6703354597106,241.19995816581826,244.19324935979049,247.8612716763006,171.3789054953112,108.53919374345877
2017-02-28,137.5,120.45972456157732,198.5720403118786,184.02835157210887,325.7549123372141,199.7570185288098,253.71113375539994,259.2208261986038,252.04352261135665,172.627177838435,108.73202962245077
2017-03-31,136.45,120.09313385514713,204.31143766879646,189.14094841632766,334.7890110901477,198.69162976167092,251.52862442384318,261.53822310466757,254.72288337300236,172.21650327202113,108.57881347348854
2017-04-30,136.54,120.10304171207767,211.48282250986813,195.59710702534508,354.63715429570664,197.12657900662424,250.81098391690108,261.2970837597504,258.72832369942194,173.08342786939656,108.73947694012556
2017-05-31,136.87,120.19221242445259,217.26504169828843,198.3529281907345,363.82679121991623,192.49765740528167,241.27530693087454,257.1746068579159,259.31995919755184,173.720790833387,108.79945267179968
2017-06-30,135.78,119.86525314574456,214.70993508888708,196.64473808697846,360.277023606829,194.60935369545834,246.79285724939731,261.7898877998145,261.06766405984354,172.87932904990018,108.44098844772081
2017-07-31,135.39,119.8751610026751,218.5721675054375,202.53709251842275,368.65675762735265,200.1136824722931,253.4244868933151,278.78478599569104,264.70588235294116,173.092642039403,108.5575637937232
2017-08-31,136.82,120.12285742593876,215.74613861554047,199.2312592639314,366.0604666145138,202.10874822393444,255.37980884696,287.4969407526645,258.24549472968374,174.3068318612128,108.72279494853407
2017-09-30,135.76,119.92470028732785,221.4721806487719,206.63093548624468,376.41341861856336,212.98581738610144,273.5998392667425,295.21064767288533,253.7164229853791,173.14762982815077,108.37306891052694
2017-10-31,136.3,120.05350242742495,224.8018960319849,211.03831719701031,390.2342276011228,223.5243252821886,285.87150385093804,314.7805567007177,251.567494049643,173.539776977455,108.34437191308682
2017-11-30,136.18,119.92470028732785,226.29726830633294,209.73840234633698,389.8550457871244,223.71613614287273,286.1290071577527,308.98940533740426,246.1475688541312,173.45764206417223,108.07855232088208
2017-12-31,136.41,119.89497671653622,227.92047010739375,212.85427901647273,395.69370944733333,222.4003812125163,284.9058148473222,314.2606370413689,259.66678000680037,173.3363716976365,107.81134256271136
2018-01-31,134.93,119.746358862578,227.6224132009955,214.80765713204454,404.43882011872444,215.6674439073787,271.7088909898649,313.5952791230173,257.1370282216933,171.7805640459123,107.31545050314078
2018-02-28,134.78,119.93460814425838,217.47194322079525,206.03356565433577,391.4766922829138,210.8150525085259,265.9338274906334,304.96065235684193,254.32165929955795,171.01905747957773,107.13234578591046
2018-03-31,135.48,120.02377885663331,216.01472901412268,202.86682014569996,384.55662417744236,219.49144787752854,283.18074294508904,318.52159526892945,254.84529071744305,171.9474098769958,107.13780715220528
2018-04-30,134.79,119.72654314871693,223.11700535484883,210.42887928768909,398.90479039160647,231.0710845949906,297.37813461326937,330.03922025342973,256.42298537912274,170.85072549204165,106.83475097162672
2018-05-31,135.8,120.0634102843555,215.48242397005018,203.09052109285483,399.1201509364503,232.3123865991588,304.9124999214249,318.0158676088391,252.65555933355998,171.03659412571892,106.79254950480302
2018-06-30,135.63,119.88506885960565,218.92746151334896,205.9080492394378,400.39022594450324,234.00016372404315,306.28889075730615,307.41566797951543,252.90037402244133,170.87470214947763,106.68183271537146
2018-07-31,134.76,119.6571881502031,231.02823273029455,217.36360864948966,407.71984722286135,236.44562875307747,303.7452316482468,308.1452670413857,257.4838490309418,170.48077161243023,106.50736688664388
2018-08-31,135.68,119.8751610026751,227.6836780985411,212.11223942729194,410.64470111821817,238.35493409383383,309.037865493762,298.6131239977749,251.48588915334918,170.55359327860975,106.53804983546394
2018-09-30,134.59,119.637372436342,229.11418165784082,214.6277397584282,400.9396714371175,247.45538538886115,314.5061478007411,306.75500148636803,248.3100986059163,169.45284673268503,106.24462551907803
2018-10-31,134.87,119.71663529178637,225.46181861350541,205.60585322779025,372.22401178040593,237.5007396354655,293.48793255456235,290.23930108632993,249.45256715402923,168.63030867469521,106.12219161650485
2018-11-30,135.31,119.68691172099474,223.45682414642525,201.49222618184112,350.9566978049791,236.09966822911338,290.2656378295999,297.01171418724095,245.52193131587896,168.99362438881818,106.1908062366817
