,gold,commodities,infrastructure,convertibles,managed_futures,high_yield,high_yield_unhedged,em_debt,em_debt_unhedged
2012-08-31 04:00:00,315.5276519288039,94.37428044138318,78.1754226213816,129.6055296869023,72.23236311230991,142.30342903088692,106.67432508825532,151.94954579576589,132.71362995267722
2012-09-30 04:00:00,323.7508011937015,92.15948312260953,78.41316176481415,130.51507295498487,69.49172069538992,143.0442018716062,105.11475072735801,154.66244497800287,132.41886482567799
2012-10-31 04:00:00,311.34494653884894,87.75007402655386,78.92991882476426,129.61559507792546,67.2019867040889,144.25163772503367,105.03198735953463,155.62237549321688,132.02143655030636
2012-11-30 04:00:00,308.40675561898706,89.04138542210434,77.32389433962594,129.9414463708362,66.56397264708951,144.96838360860252,105.04888699528397,157.0171749582654,132.5674496448905
2012-12-31 05:00:00,295.99182830904954,86.58526372126332,78.77792947227586,130.92026991056838,66.09612206330515,146.99981158149555,104.77580932251624,158.13906667095512,131.32729547214
2013-01-31 05:00:00,293.97746409858325,88.58028790616483,80.48964823317756,134.5498509921173,66.3221153002608,147.50372762870336,104.95065896503529,153.63131666097522,127.36013475664636
2013-02-28 05:00:00,284.38628482970677,86.03351122043202,81.58781502445314,137.87849316622294,67.50184817421994,148.87943968931182,107.96552641474,154.03730039406653,130.15110597175652
2013-03-31 05:00:00,293.7258238458328,88.60873685179823,85.35921544281231,144.3002006527005,69.67991632792676,150.17827048744624,111.42803940501128,152.5947706113611,131.916349463859
2013-04-30 04:00:00,267.8264926197203,84.07700830716364,88.07376234911835,144.78809686569056,70.33220461445512,153.35906708381685,112.24297869942481,158.037542666529,134.76638437846742
2013-05-31 04:00:00,255.6747540098435,84.23091819171535,84.40065766567942,150.38122943883155,70.21159693901984,149.4006321437943,111.28279147546472,150.25378613916328,130.39849639657868
2013-06-30 04:00:00,225.34951155198365,81.11506225845258,82.38482621359695,145.64337107008143,68.96584668955737,146.877751638927,108.41704701589666,143.58142271315407,123.48420038222376
2013-07-31 04:00:00,238.12792438036357,82.32641970707346,84.3975347637371,149.84860258167325,67.42397894506715,151.0696055924317,109.68477725156343,143.80514044788438,121.65088033052804
2013-08-31 04:00:00,250.6170074594659,84.67626793610073,81.54997608126703,148.70847676822888,66.46606721149125,149.1479740631662,108.33068568120655,140.3093929424854,118.73874718191648
2013-09-30 04:00:00,232.27122831271362,79.63823159004751,84.69187925410216,148.7860683912332,63.95436665979349,150.31321897987013,106.26873567226316,144.73105808235286,119.21795243710753
2013-10-31 04:00:00,230.20813676244006,79.17200284726336,87.39539826200591,152.0855398313631,64.34173656414377,154.0984523115061,108.34907455144727,148.4000888170576,121.57175142332584
2013-11-30 04:00:00,218.89092032532648,78.92808526268952,87.0033315088961,154.57573839717656,66.66311066958866,154.8277117143817,109.54746883087701,145.3989924609658,119.86341102657983
2013-12-31 05:00:00,206.23349238670542,77.75161098752086,86.71898945137704,153.3694242304079,66.85945290077204,155.4573755045531,107.72007679572897,145.8152408791129,117.72259469616388
2014-01-31 05:00:00,216.9552823739351,76.68569620306653,87.05622925280284,157.87866958933387,65.17772238279736,156.07670095260002,110.01062646452459,144.6288416561454,118.77445663860135
2014-02-28 05:00:00,226.93894900192225,79.27391235596667,89.63601034896604,162.66741240107297,64.69982623139401,159.67964443555366,110.7829716562222,149.6109193004451,120.93675974897573
2014-03-31 05:00:00,219.43702936579902,79.10976456966999,92.71235388259649,159.24987984496676,63.19892584853566,159.5493963260062,110.50568885829499,151.39215561883867,122.16995864617415
2014-04-30 04:00:00,219.62471515487985,79.6633718317423,93.688294343338,159.60601743671646,62.85197138014406,160.2203509795844,110.51991058578912,152.9948781163621,122.96211407192001
2014-05-31 04:00:00,215.94608407700963,79.63160233999432,97.58130167167292,165.2083481211854,64.41637489761956,162.15332093243754,113.44089837863709,158.29983952294126,129.03153608936637
2014-06-30 04:00:00,228.377839530062,80.88423759135924,100.55075568375338,168.10646563648348,65.86916858206072,163.1454392468646,113.53151129207572,158.3686512767246,128.40510280861378
2014-07-31 04:00:00,224.45594448006952,78.5806239275732,99.88793628848816,168.8735677234827,67.48767821885286,159.17800357367435,112.97110250494107,157.97009704220602,130.62634700273125
2014-08-31 04:00:00,227.79287976258183,78.5363205946608,103.56087485242136,176.25766973000015,70.5190520942213,162.96688720265053,116.93421418870771,159.97615522735967,133.7423868022154
2014-09-30 04:00:00,221.21215174065694,75.40988399549191,102.71115156831934,177.42689133156298,73.93069664727744,159.73567399952253,118.63164841080017,156.5224957378048,135.44001517916215
2014-10-31 04:00:00,215.62727773021476,72.88341695631138,105.3417117399418,179.35153554178703,73.35645361743511,161.42971198982835,120.5453812884755,159.61240922293004,138.8690099498737
2014-11-30 04:00:00,217.20039408872108,67.4951553132959,106.55688147464232,183.72640829786098,77.81991501598468,159.68450733166787,120.70137034299997,158.948994299998,139.98412456819025
2014-12-31 05:00:00,224.7639948700151,62.29050867897501,107.68968998554817,184.05471713534772,82.22133633111066,158.35222646505994,122.29791316834225,154.5796120281885,139.09815264292823
2015-01-31 05:00:00,227.32773443358428,54.665235326222216,100.49520814203663,168.82348031457204,80.09940419385114,159.3501761538024,114.60365414884646,157.35530532427106,131.8554192559914
2015-02-28 05:00:00,221.73599002161316,59.17456445554306,104.24893436490082,181.5776043289836,83.3286871958397,162.78933830595827,121.45068808912242,158.7508557751209,137.99542139348222
2015-03-31 05:00:00,220.10323551876692,56.39659860968612,104.60730710696029,184.07767233260122,87.07281792765892,161.12770635897385,122.04029718869862,158.67192058327672,140.02467853457685
2015-04-30 04:00:00,213.58862341028683,58.73694697519998,106.2256917539494,181.61693914062474,81.00102218788064,162.4141328734433,119.66005460688916,160.5128832749604,137.7861693167576
2015-05-31 04:00:00,215.39120534256844,57.03763399976584,105.0927602535938,185.58153933540123,82.08012220509335,162.87310771778948,120.43028073567321,159.90031423934911,137.75522745794436
2015-06-30 04:00:00,208.27881305471138,56.920388822854484,98.42818716900918,176.5130141450574,77.20308751282181,159.6806767564146,116.01494512253008,156.88286872119082,132.80343601681267
2015-07-31 04:00:00,203.39497814403992,52.01994135908411,103.41698885469732,183.7288733178434,82.9784247430632,158.77854152770834,120.73066355000978,157.0006002232267,139.09043708268888
2015-08-31 04:00:00,209.36684870103423,51.50183822080423,97.21505128687672,177.6214719350443,78.1471202121274,156.2441517520677,118.00757461064873,155.11676085588954,136.50033940083586
2015-09-30 04:00:00,207.71364934476117,50.241556679764464,95.87857165321904,175.17356778260609,78.65035468063711,151.4587273469867,115.65852265006222,153.3465823497487,136.4331742422443
2015-10-31 04:00:00,216.32928899897757,51.32622440783923,101.81801457093135,186.30565575841158,80.49367497729395,156.24145620530362,121.57149892964641,156.9551493751216,142.29053695848089
2015-11-30 04:00:00,210.18977309566603,49.926969514867395,101.69714214294343,192.82691225505118,86.89574020480025,152.2277331183277,123.51258181943851,157.32005701369215,148.7158966118176
2015-12-31 05:00:00,200.66998335811692,45.08111059612613,94.6108568830628,182.48886741345308,81.55367165287026,149.05221573544304,116.09322319115223,154.7862454077935,140.46064875025493
2016-01-31 05:00:00,219.34279398391178,44.71714259007641,97.96962339157082,179.17448664809424,84.63918561295336,146.5262769184826,118.45487915150031,154.69957532149482,145.70472915330893
2016-02-29 05:00:00,236.71523818592271,43.40161654988579,95.57674981614397,175.7070889036789,83.04929226011491,148.5822399287965,116.96560124264653,157.2683660693772,144.2376715167071
2016-03-31 05:00:00,227.2429727604847,43.79868096148292,100.50240731972389,179.17653243297173,76.77702721246618,152.22735424354653,116.12388153761688,162.33175907869287,144.26981124305155
2016-04-30 04:00:00,237.55112223151812,47.788248564448836,102.20507336393507,179.75632237671996,72.81984552957795,156.83802185204956,119.09751910402773,164.70340440155698,145.71463064713706
2016-05-31 04:00:00,230.31291081423913,49.8022547037898,105.17495407100886,187.52806411708386,72.96860796031666,156.95792205786972,123.22930970177256,164.19366787627553,150.18894899101844
2016-06-30 04:00:00,247.92515376589077,51.33836902036031,107.24076828708652,186.2508365003369,73.22892396359872,159.62522196438312,123.91668707744485,170.89349592628585,154.5594137892596
2016-07-31 04:00:00,250.30752880628725,47.28031337419553,108.9456475150119,192.62827669582748,74.41877307443899,161.57158845499305,124.28359886287956,173.07256286540942,155.10238547444953
2016-08-31 04:00:00,245.56636120450023,48.31536777048486,108.56375202672959,197.4389963496493,72.81742301669493,164.59926935383632,128.51344050946648,175.20066861969335,159.36772558749868
2016-09-30 04:00:00,242.98564892081248,49.52608593265184,108.67487337549593,196.35621234203856,70.97664308578359,166.21998011944865,127.65436465360538,175.75985867163794,157.26018314949883
2016-10-31 04:00:00,241.02691525198262,50.448879999874976,107.4885717705833,198.48457529024904,69.14478803311299,164.43011504516977,129.18492447583532,172.5561121934206,157.94671095348397
2016-11-30 04:00:00,226.31468158530103,52.55270259875996,105.63997105950456,204.36730191125068,69.83997889850066,164.3067611334608,132.3850760189023,164.95209458843593,154.84943999075213
2016-12-31 05:00:00,223.7668726466242,55.16980084742076,109.23491850485757,208.58061256918003,71.20684188290146,167.13973456378804,135.90412440588605,167.21585287955625,158.41645224075702
2017-01-31 05:00:00,230.00869113228842,53.48788863281032,108.36516275855263,209.21356929401878,67.9461658437487,168.473856319249,133.72343591497943,169.921846706549,157.1412327430529
2017-02-28 05:00:00,240.94038152285356,54.19724705565254,113.03079759317096,216.78634848680898,71.65342206225165,170.86146515697916,137.8349289363335,172.5752781832921,162.20303360751745
2017-03-31 05:00:00,237.7637092008381,51.96985836627566,116.16453969264877,216.6623467093094,70.97512284611194,170.3851753842613,136.40615100291905,173.2279417067544,161.57771763341958
2017-04-30 04:00:00,240.35826567193368,50.25304063926086,117.13000577478077,218.9597899758447,70.79144400483763,171.54440407260574,136.6597989404538,175.9558641628823,163.31429700364498
2017-05-31 04:00:00,235.62890470908675,48.6256160422502,119.57327157273284,216.86501655548497,69.48482918145204,173.0813938670182,135.52091422644784,177.0576982444489,161.52083532998026
2017-06-30 04:00:00,225.6971059809916,47.14534585626715,117.14998903587322,215.09193395145445,66.06146996179274,173.04030333092223,132.84419602743802,175.51137940702375,156.98718573792232
2017-07-31 04:00:00,234.2705607067338,49.78276615389894,122.36481170576678,224.81316651454634,68.68436867733539,174.53365137810056,136.14664235448848,177.30624740208165,161.14407613190684
2017-08-31 04:00:00,242.72927788958563,49.699272433084474,123.71685689265814,224.1066042141794,69.48354539884299,174.37507912383688,135.4667639846644,180.55666257398454,163.42240223933894
2017-09-30 04:00:00,237.20975595929232,51.26154979257842,123.026986966955,227.77225360588665,70.52620134925839,175.1500805243322,137.8261595168669,179.9354724788079,164.9655167299905
2017-10-31 04:00:00,240.287276538485,54.39055116285613,126.33972202858492,236.39271102302928,73.79895962883879,175.02510185661382,140.78658018554543,180.09192636054186,168.77540601306964
2017-11-30 04:00:00,238.65383634910668,54.33332359308174,127.1494582417984,233.7393904354172,73.33092352079827,174.10796326089658,138.82062446189332,179.32052402351084,166.57840552310944
2017-12-31 05:00:00,241.11725639862226,55.25917757143654,124.48870056845269,230.50856139764008,73.22192766029843,174.22743106566296,137.69863437261503,181.23573814958598,166.87938764480631
2018-01-31 05:00:00,238.8210329879678,54.58188270876511,120.89209842843141,232.30448587037534,74.7796819462045,173.99878310494628,132.17407622242206,179.75967476010518,159.090189034699
2018-02-28 05:00:00,235.05674245101713,53.25634748505913,113.25274643771503,227.91111547986822,70.86745590142766,172.18150486553415,131.69643220371952,175.51954327929923,156.41359029398657
2018-03-31 05:00:00,240.20616272670713,55.31925545850853,115.51916143137679,231.42785722029012,72.0396844030229,171.4416700145549,133.4263536468538,176.14205068356333,159.71401885591547
2018-04-30 04:00:00,246.44448103412415,59.259917665745164,122.06240253544732,239.32960915510856,74.35225241816593,171.92444291147206,138.87275018941364,172.18114609994743,162.04734054131677
2018-05-31 04:00:00,243.61301637388277,60.87497375311477,120.08094647596475,248.54112232598547,71.60677738000028,171.67077879214702,139.00879058605108,170.44543667754854,160.81095727254925
2018-06-30 04:00:00,235.12718763961544,59.774775220444766,122.13742973627578,248.0150461523933,72.24601568332021,171.46490587556886,139.3361839679136,167.52830169276555,158.626810467128
2018-07-31 04:00:00,229.42634515404774,58.21199004443013,124.17991260299885,248.8431725244459,72.149612616474,173.96647783123004,141.4090592251374,171.47269096643512,162.4045490751787
2018-08-31 04:00:00,220.0945112022961,57.49438125086974,118.58754973380381,249.68903784116026,72.77064191245277,174.81743162651904,139.60246889496182,167.1209798904038,155.5106722273327
2018-09-30 04:00:00,221.6040828829283,60.25197751596188,118.78499165609924,251.53477161299338,73.22014590801287,175.3153774557521,142.23690087152264,170.11475864955023,160.8199065788674
2018-10-31 04:00:00,231.6651114907219,58.213409635398946,117.09683263752679,240.40445964083048,72.12864972376785,171.42986646879436,142.73009010838,165.42895343407724,160.4914837490924
2018-11-30 04:00:00,230.34496037694092,52.00611733294328,118.26804502209751,244.31538308293898,69.06318660074177,170.33489761021775,140.87316570518712,164.22455464918843,158.26143158464384
2018-12-31 05:00:00,238.7431408505957,49.3086097831018,113.19439387621198,228.1089564471986,67.97964565409329,166.3334184042484,136.22712851233513,166.92927963629344,159.28818039086948
2019-01-31 05:00:00,248.1070185466506,53.345218625951155,124.03085946199953,248.82163278710524,67.69348704369852,174.124685788001,144.40186513287665,174.4786463142304,168.58671537250197
2019-02-28 05:00:00,248.33295504038503,55.24408937973856,128.26712754510342,259.4189273147363,68.75676770048169,175.7861575511767,147.1855522227324,174.71946490721075,170.4509851801202
2019-03-31 05:00:00,242.91652026449623,54.70965876531287,130.26670466582038,258.3684222961262,71.02965593770683,177.59753066752063,148.20038910533998,176.89583293914058,171.99085936882918
2019-04-30 04:00:00,247.30634159578636,56.740600510026795,135.50292304092864,271.7751296785427,75.18592727257261,178.88642184852773,153.3847571585704,176.74827338817795,176.58118148989408
2019-05-31 04:00:00,248.59116245169582,52.70612981766673,131.55931602481533,253.93812031437676,72.61905179886695,174.9616084919131,148.58901395828545,177.1592454272698,175.29287001543608
2019-06-30 04:00:00,260.32368121907837,53.1304424645564,134.0901943326635,257.9727825414512,71.44127471955024,180.025142508524,148.61662419121035,182.9452561413935,175.9575573288785
2019-07-31 04:00:00,263.91924226707727,53.243900928347706,133.13686275406099,265.8387411101701,74.31722967320886,179.87583466668576,150.89397825329286,183.84916179187965,179.68313600882522
2019-08-31 04:00:00,284.85315948144694,50.78782247020721,133.77905490932918,261.62171084641915,78.08209330405943,180.68555592318583,151.9623866635962,186.26242092805433,182.50538942120255
2019-09-30 04:00:00,275.4665479353149,51.56007364144581,136.89214995899374,261.1196922985866,76.18816024606545,181.08345389346624,152.78671608113055,183.81198093488223,180.68959459027752
2019-10-31 04:00:00,282.0178960065761,52.45931958745671,138.7032505683863,265.134114519645,74.54343835975952,180.70421339830796,152.49316135395534,184.50605515568705,181.40121269116165
