,swiss_bonds,swiss_bonds_1_5,swiss_equity,sli,spi_extra,world_equity,world_small,em_equity,real_estate,world_bonds,world_bonds_1_5,gold,commodities,infrastructure,convertibles,managed_futures,high_yield,high_yield_unhedged,em_debt,em_debt_unhedged,cash
2019-03-31,139.0,120.4795402754384,238.30116042923584,211.38622052624387,369.83571855874095,252.56902520729216,308.24578492379413,327.2867567960212,266.65759945596733,174.41720374709578,107.26808556272924,242.91652026449623,54.7096549337077,130.2666557392593,258.3683470161545,71.02965248540208,178.03829401831223,148.20045284326838,177.28153428262044,171.99079789592523,100.65460368635311
2019-04-30,138.61,120.46963241850789,248.77279414570444,225.31485277576292,392.6068749712392,264.8889727551225,321.89682784162113,338.4948550820597,269.5681740904454,174.01594150488202,107.21466347060893,247.3063415957864,56.74060443694431,135.5028721477088,271.77507446778066,75.18591865144944,179.33034875586233,153.38479307383795,177.13356675183567,176.58103262591072,100.59169455904913
2019-05-31,140.36,120.83622312493809,244.73185477887404,217.5207564624134,377.1248446919148,238.6912067742973,287.6020437549371,300.17742440368346,265.8551513090785,175.9684538523652,107.58186588075952,248.59116245169585,52.70613369681233,131.5592806103277,253.9380225139384,72.61903872160987,175.39579530559595,148.58904856053047,177.54544735903062,175.29273473466893,100.5288247499497
2019-06-30,140.89,120.94520955117407,253.90759811923124,226.9512441262733,393.0173484883346,251.99590946479157,301.4565989969568,316.1162066295614,277.72866371982315,177.84348791011726,107.96356573598364,260.3236812190784,53.1304424645564,134.0901303980135,257.97270812513455,71.44126192175688,180.4719418328281,148.61669722893583,183.3440096740468,175.957362439382,100.46599423448099
2019-07-31,142.77,121.4009709699792,255.75338864839884,226.8706781460574,394.74483456812857,257.17464140316315,307.85730980481054,317.3741847485906,283.83543012580753,178.74092825332033,107.9335778701466,263.91924226707727,53.243900928347706,133.13682650795903,265.83864304233754,74.31722115169408,180.2847692296708,150.8941393319974,184.21184315270955,179.68308712423743,100.40320298808443
2019-08-31,145.66,121.8567323887843,255.678556437902,224.1061423150105,388.3650085131839,252.84488585595383,298.4124002794388,303.085188340346,280.170010200612,182.28887909126485,108.49242458846122,284.85315948144694,50.78782247020721,133.77901842453022,261.6217238572736,78.08209369117772,181.09614565029835,151.96239344643726,186.62972541853517,182.50520559114253,100.3404509862169
2019-09-30,143.15,121.00465669275737,259.3292235681185,229.76137164001807,396.9186875891584,260.3015664491239,307.01458441420925,311.42549292867704,280.5848350901054,180.9268662409654,108.1710976551872,275.4665479353149,51.56007364144581,136.89212609427028,261.1196168538114,76.18815151002218,181.45733481898284,152.7868198180024,184.13568530125275,180.68952347056936,100.27773820435051
2019-10-31,141.11,120.48944813236898,261.5322160085813,233.93524446266568,401.0906078873499,264.39513240611933,312.48929669045754,321.54145545278163,289.92179530771847,180.13088084492946,108.0683246712754,282.0178960065761,52.459311966239376,138.70317097265777,265.134104976603,74.54342981230674,181.03943876562136,152.49320695462723,184.79252224260608,181.4010453125468,100.21506461797279
2019-11-30,142.11,120.7371445556326,268.7199240230475,240.7786537996573,419.16248677005206,278.9817832115554,331.1335967202182,329.6449598910526,293.376402584155,179.52651055418775,107.85821101527792,275.94245624639564,52.96155206766703,139.14393445866705,275.75532343815433,75.98042647295004,181.70944486855635,155.029864273006,182.67188388521504,181.6355207907176,100.15243020258654
2019-12-31,140.66,120.40027741999404,272.14121876868154,243.9576040451186,427.1225438313929,269.6720329524663,321.54655849469054,332.5944899007217,296.66780006800406,178.6473994739006,107.75811906572903,277.08994072206104,54.30707265852668,140.25766623806624,274.9407418477216,71.86466696774376,184.8227030642764,153.05436648536033,187.6916764853921,181.1415740680524,100.08983493370994
