,P0_AP5_benchmark,P1_swiss_bonds->CLO,P2_swiss_bonds->diversified,P3_draft_recommended,O1_opt_max_sharpe,O2_opt_min_variance,O3_opt_min_cvar,P4_dynamic_swiss_replace,P5_dynamic_broad_replace
2022-10-26,106.50938932790682,108.07940948355659,109.55512348539638,112.42705876169875,119.80104649342573,108.63981908970479,109.1897332046937,110.4723803966074,114.81815093529309
2022-10-27,106.42642439709518,107.89561683317439,109.35269883582355,112.33451932750012,119.63345413317393,108.53345731344484,109.03881694084964,110.38177741727573,114.72398380936764
2022-10-28,106.5259749180214,107.94783414022243,109.38444475848141,112.4361364074471,119.53452176662435,108.51897570494742,109.03360850494667,110.49796980937028,114.84474698623725
2022-10-31,107.27723891946556,108.71197044766451,110.16361742467866,113.22627910025045,120.4642159448862,109.29321089886737,109.80708938040196,111.25651523580615,115.63313212785467
2022-11-01,107.11817456077057,108.60203877833673,110.05644135978613,113.15709045152708,120.41401360734207,109.20547955433359,109.71750644661218,111.08356028114328,115.45337345860001
2022-11-02,106.9345030354143,108.3972506566688,109.85892063562113,112.85037242932951,120.08615874531645,108.95852980981438,109.48148995517258,110.90720752705516,115.27008332703907
2022-11-03,105.80277478290144,107.29031846011561,108.78782117392996,111.84782940594926,119.20783600381509,107.8879129105286,108.42786506103559,109.73461305932324,114.0513612528104
2022-11-04,106.1082046678945,107.8219745241741,109.34704282943339,112.34658609269597,119.68724758680149,108.28725254412433,108.89025166313553,110.0522603779741,114.38150420479629
2022-11-07,105.94556089749996,107.5799379188243,109.06779656915194,112.16981137163604,119.51538000366698,108.15294707113998,108.69472751626428,109.88325916444866,114.20585480923562
2022-11-08,106.67755200219355,108.31004095691429,109.89610512625225,112.92579454185534,120.28144791613673,108.8874176002954,109.43934888400419,110.63329493286386,114.98539553928593
2022-11-09,106.94304492592244,108.43732388062408,110.01146380805696,112.95621632030681,120.19774218802162,109.06619149896466,109.57672837976453,110.92152571080443,115.28496476054255
2022-11-10,108.73850507112527,109.99011709709812,111.6151472481431,114.69037638377011,121.31689195946002,110.64006961953068,111.09414026762548,112.79752132624967,117.23475842801705
2022-11-11,108.28197816338727,109.88719076199563,111.43737092995156,114.40717465474921,121.02457406683935,110.33964540112106,110.91141516866736,112.31912176353558,116.73753954849364
2022-11-14,107.58472854512968,109.29085120435,110.82971760697858,113.6998086334844,120.40967265788825,109.66343248942985,110.28379970621958,111.600634599898,115.99078848453136
2022-11-15,108.31279217303876,109.85792355311929,111.39286157906365,114.34536221577456,120.8896963716368,110.31336181741307,110.8741785521195,112.35256081263225,116.77229402533689
2022-11-16,107.8522731205363,109.34144751562957,110.85654898327408,113.79603091915791,120.1178099029784,109.80091756588055,110.33083446471217,111.88741563841698,116.28885093641152
2022-11-17,107.59666960304635,109.07726326939363,110.6040810175773,113.51046042384026,119.93425465026206,109.55150658811372,110.07894242661773,111.62598766077252,116.0171388859594
2022-11-18,108.16332016612995,109.64564081989909,111.13066277787841,114.12987572111639,120.56588701591954,110.16584667518954,110.66863358558547,112.20518538521557,116.61912113263256
2022-11-21,108.53259026420812,109.96910346824018,111.41548071597941,114.43859285433633,120.80543947288905,110.51160400397796,110.99257339034614,112.58586758844997,117.01477864007855
2022-11-22,108.50276314142108,109.93854166767709,111.37696044138434,114.48451789867772,120.76939597298171,110.4910562573988,110.95927970263737,112.55199782125649,116.97957650151862
2022-11-23,108.74589199206304,110.07429711971672,111.4657140841696,114.65594764709637,120.6971177858517,110.67579589601976,111.1047378861139,112.80450609944819,117.24201796873189
2022-11-24,109.3945786670784,110.67564272061783,112.11000441177528,115.22867776220038,121.18776744782424,111.2055938933284,111.63475241093383,113.48334795967028,117.94756415944805
2022-11-25,109.07521951160844,110.70742663006374,112.12786105865212,115.12477774048541,121.22504056921008,111.018321592442,111.57789283767055,113.13973676294384,117.59043596046155
2022-11-28,108.94450727984545,110.44413550553698,111.85748789796631,114.82315213827007,120.90822959058178,110.83456748699108,111.34843544712152,113.01310745728665,117.4588253019641
2022-11-29,108.32469918043846,109.86291350519338,111.27097439821154,114.24438598501565,120.45952007585963,110.29547051195632,110.78332488171894,112.37079667287044,116.79124724917207
2022-11-30,108.33091999438129,109.9677773995953,111.38722289591456,114.44214323887829,120.56887554790336,110.36885948223032,110.89205515498534,112.37173265250202,116.7922200484385
2022-12-01,109.52589145853065,111.04027850907801,112.53855643281898,115.52607561858008,121.53485876149928,111.42678981800098,111.93605477543764,113.60707753007644,118.07616101269818
2022-12-02,109.50883946939439,110.97773697281737,112.46034052478721,115.39565863226304,121.30341378778404,111.34054999393524,111.84616112714394,113.60011114408752,118.0689205825103
2022-12-05,108.96755084096353,110.65850823134342,112.09215347906567,114.86000143059938,120.95877719810248,110.88897198998325,111.4739279493972,113.03668375389178,117.48332904464063
2022-12-06,108.69346198399566,110.17290709043053,111.58730469006744,114.39977469436351,120.30407980046405,110.50689740797924,111.00950475662384,112.76370042518819,117.19960707788857
2022-12-07,108.00877818555577,109.5951672723849,111.01626138012402,113.76319249980797,119.64583060685567,109.84972739893979,110.39976338634656,112.06297843768603,116.47132003785323
2022-12-08,108.10773216503307,109.59219913199733,111.01213196380661,113.85127511223206,119.66545050078193,109.92917653577344,110.42819999578168,112.16496453341547,116.57731807003762
2022-12-09,107.8995363922443,109.70905649844043,111.14635441060383,113.77980797893107,119.80103510081956,109.79710940695959,110.43533436303986,111.95129374589403,116.35524188552866
2022-12-12,107.74213447155626,109.52254532975616,110.89427941934169,113.66470210117268,119.58841034581471,109.68000387731169,110.2735298533164,111.79188031228766,116.18955743467119
2022-12-13,108.67100373758714,110.43829451508067,111.8771539271384,114.62714695292595,120.49529560421036,110.52912150304523,111.15465093650145,112.7443007707174,117.17944427839855
2022-12-14,108.58779143164585,110.30705821673527,111.71397758031681,114.49589867113608,120.37768448386142,110.497992289713,111.07560007523443,112.65711645274293,117.08883029737953
2022-12-15,106.91038350928832,108.75198772484444,110.04015552893587,112.7059159831062,118.51360782807232,108.85287118499203,109.447794558033,110.93643126981816,115.30045667552133
2022-12-16,106.07720075662641,108.03068782154371,109.34066314392679,111.87750141420145,117.96634458691528,108.09636774259232,108.7090813670068,110.0713067050386,114.40129977766074
2022-12-19,105.67442995759558,107.7223484135959,108.99033567954986,111.49961872739999,117.69652690155972,107.80657902321249,108.42075759950043,109.65164608584801,113.96513051849537
2022-12-20,105.04200075840275,107.20779991627727,108.52495733659713,111.02157057397201,117.36587315139238,107.21815910174001,107.86934295990676,108.99582690637475,113.28351267641858
2022-12-21,105.71274481434028,108.0239683940146,109.3579991486789,111.82640001598571,118.16049181473754,107.92088124121778,108.63593938794112,109.68475036306766,113.99953705418116
2022-12-22,105.1342273340649,107.75079464775995,108.99988608733085,111.29591442159703,117.73294312893543,107.45554872583413,108.27264326640046,109.09132788673817,113.38277048129677
2022-12-23,105.4430200656504,107.94756166245048,109.27258811655636,111.68988304241256,118.03526610803394,107.69906446318139,108.49773327299235,109.40640411165681,113.71024119767812
2022-12-26,105.44311606460593,107.94765808235272,109.27497997514368,111.69108886668097,118.03829988314345,107.69972509185637,108.50051662213225,109.40649468046256,113.71033532928614
2022-12-27,105.26165096894428,107.9144153920546,109.27436710103582,111.66948949483759,118.20682023387567,107.6297407571897,108.46609942931423,109.20739683045939,113.50340535357198
2022-12-28,105.15051562258786,107.62193383502101,108.91784909371725,111.34335028097992,117.811752387924,107.45523181874175,108.22187705053572,109.10235060399043,113.39422681100237
2022-12-29,105.09939945340956,107.63698963769713,108.93068645778278,111.38894252761986,117.8521378998251,107.46925537274119,108.24569948929152,109.05093912742873,113.3407929060347
2022-12-30,104.95368624854133,107.46616907233297,108.78581954684073,111.19135289535387,117.7389103373685,107.2831890365219,108.06785932220771,108.90111142934711,113.18507127506356
2023-01-02,104.95378226083079,107.46626550562759,108.78643288473701,111.19170324491445,117.7396768413339,107.28341230458444,108.0685610124653,108.90120201073255,113.18516541974614
2023-01-03,106.50583814606078,108.84082988918836,110.29562548467085,112.70237717541917,119.31932192116722,108.7802599554692,109.50324079088132,110.49754514501285,114.84430561640244
2023-01-04,106.94180229956751,109.12511852654194,110.63650559149687,113.16502961235221,119.66059832860742,109.17217610407202,109.83664543699498,110.95917634303056,115.32409649607888
2023-01-05,106.57918302625684,108.87118004898085,110.35418498824075,112.82732431777,119.36582540281681,108.86681759032552,109.58485786224573,110.58099750697853,114.93104083345567
2023-01-06,107.21283626671341,109.43076811953067,110.99320638405746,113.51739707129245,119.8855587179381,109.42290182460097,110.1420392662327,111.23649517496901,115.61232451640755
2023-01-09,107.88242847822747,110.07573392578188,111.61268232504544,114.13339664359401,120.34460517268634,110.00584867320948,110.73405764010207,111.93748354004059,116.34088841279248
2023-01-10,107.44645991729485,109.7837526860137,111.31154821794081,113.80566033912953,120.19839025729986,109.67438174163833,110.43627725954241,111.4852098626437,115.87082316056396
2023-01-11,108.50384842321144,110.55183369304685,112.15477974552238,114.80683913154839,120.99331925475528,110.61129655545238,111.28708085391735,112.57205713091301,117.00042490575808
2023-01-12,109.09380742788109,110.9898384589266,112.64578339322644,115.43837890223574,121.64415725982039,111.19039097867103,111.79483458085309,113.1757881539146,117.62790554367366
2023-01-13,109.39764497059434,111.20861806679572,112.90674857325762,115.68351234027467,121.86355379435952,111.40149632742211,111.99385002046486,113.49582499263988,117.96053201484855
2023-01-16,109.61060515680757,111.53614589133942,113.25586855794019,115.97101629531386,122.2619290174709,111.67284348023652,112.30759950565053,113.71428396864924,118.18758474595259
2023-01-17,109.653094777062,111.43950285102213,113.11569955888925,115.93948006342771,122.16619618992613,111.69578602584625,112.26978462549577,113.76220434312194,118.23739021560327
2023-01-18,109.56888629411834,111.28515466074104,112.91097914049723,115.62992749544563,121.66180671999847,111.52527870108153,112.0882406110582,113.69373930612352,118.16623189599747
2023-01-19,108.6891025515234,110.49432022307076,112.14424509490163,114.83974576959912,120.96609209855247,110.68809516891262,111.28097141772221,112.78857034027965,117.22545532750961
2023-01-20,109.03207733783195,110.89565412873013,112.57616504922956,115.37033249334368,121.63550978652545,111.12210276941556,111.7179632021926,113.12905715505686,117.57933623738242
2023-01-23,109.45676326150098,111.4387020104145,113.15272107028136,115.90022447368197,122.30766392668977,111.60002737220786,112.2535024778949,113.55904130890586,118.02623513916379
2023-01-24,109.7724029263468,111.72569887531165,113.48624074488775,116.23791241901344,122.67695333423174,111.90271347200039,112.55509544334437,113.88245670144808,118.3623730699515
2023-01-25,109.47379009767661,111.46266072185355,113.1863082856231,115.88957587153557,122.26649447551006,111.59157751046295,112.25792281882508,113.57838200002219,118.0463366557946
2023-01-26,109.62271755519195,111.58103131457288,113.28290745253018,116.06044965472941,122.44052896237723,111.74796840980763,112.3931987812922,113.72964841482616,118.2035535998312
2023-01-27,109.70531800285674,111.73072212418265,113.44703643292897,116.18389045395163,122.64798582088446,111.86159944473249,112.53737684818223,113.80908237797303,118.28611234200044
2023-01-30,109.66421486528262,111.78475138848549,113.48578711118714,116.08551602137251,122.66492706778229,111.87386083160322,112.57367023777489,113.76648160862217,118.24183574048497
2023-01-31,109.20956580523715,111.42633436396692,113.081208719779,115.72070210878618,122.26968400513776,111.49476197184353,112.21382538639256,113.2908609608335,117.74750509304452
2023-02-01,109.31301807234517,111.37631625249456,113.00839866014255,115.79676478491936,122.18089088260542,111.50025048805242,112.1673780470942,113.4046415359176,117.86576157667066
2023-02-02,110.62124680632385,112.46173703076529,114.0563114598032,116.85106593284932,122.96119849350802,112.59922422967574,113.21746708538217,114.76760334480116,119.2823396763695
2023-02-03,110.60974517680866,112.6324847159748,114.177889569398,116.90498225583224,123.32274566981798,112.81041728418322,113.46578788435653,114.73316754390181,119.24654923742861
2023-02-06,110.01458824562853,112.2902589473503,113.85645932514304,116.40382357874711,122.94070368953317,112.264534415704,113.03745873442782,114.11918234004052,118.60841103894053
2023-02-07,109.62890453533764,111.939609671804,113.49270128148324,116.12429700942519,122.7620128614108,111.94665725072308,112.71428740930864,113.7184533599263,118.19191815304708
2023-02-08,109.78038569242308,112.09675663533632,113.63411924137286,116.18359038901104,122.8310069301715,112.11410127016772,112.88451491086707,113.8715393126437,118.35102621211195
2023-02-09,109.81854100589577,112.03543460557466,113.55100801093394,116.11023802128864,122.70821300323007,112.09741302429717,112.83263314534182,113.91193054403527,118.39300635670314
2023-02-10,108.60391571555445,110.99930305153305,112.50388986678624,115.0821855850128,121.7439426577734,111.02901505180074,111.81703708674596,112.65549522199676,117.08714529054036
2023-02-13,109.28170782119717,111.76087409557975,113.20802964718403,115.8312421410261,122.4656300803433,111.7307200769919,112.5423953565263,113.34749979471393,117.80637198949356
2023-02-14,109.36130907862216,111.78062892065086,113.26041946893442,115.87903288511166,122.5411755788907,111.74402480481749,112.55724397840541,113.43457835203021,117.89687604943391
2023-02-15,109.29587856790366,111.8049054062955,113.24433276222476,115.88457469472064,122.64675219795916,111.77617763385344,112.60043723554938,113.3608652954399,117.82026326325963
2023-02-16,109.11261213206625,111.60242454915907,113.03777003393924,115.66757834248868,122.46034678024702,111.61346133547936,112.42344995268361,113.17147371034437,117.62342137820833
2023-02-17,109.20960378069773,111.61024894189498,113.08098648840952,115.72647533967395,122.41259265317241,111.67440762185454,112.45704140037552,113.27617607987432,117.73224253716963
2023-02-20,109.12947420729586,111.58168956976749,113.02947870711793,115.66939834129633,122.37308955162814,111.62146155602993,112.41265030524268,113.19131324371834,117.6440413605898
2023-02-21,108.86753491733853,111.34547401258818,112.82905428111695,115.34174941403177,122.26517882041057,111.4333046792778,112.23854105234126,112.91704988338513,117.35898900823072
2023-02-22,108.73202161540311,111.11712330519549,112.62165374974889,115.14604321915827,122.00497793365423,111.25011622240086,112.03147400431219,112.78313238739126,117.2198034560348
2023-02-23,108.90211839936616,111.23768867239896,112.71641948848973,115.34260810240828,122.11128011241247,111.43077442545868,112.18165221366638,112.95624425123701,117.3997252069772
2023-02-24,108.22679467095004,110.57618487597179,112.06292822885102,114.66391414209896,121.47541948518545,110.76420553426722,111.51752779059461,112.25855277847604,116.67458789629248
2023-02-27,108.81784405383901,111.22239066823118,112.71632426800548,115.31587965233257,122.19887643381362,111.37331184362922,112.15860995539795,112.86486977692319,117.30475623694383
2023-02-28,108.22864193120245,110.65576392818659,112.16492585528182,114.69087628621972,121.59325310517471,110.80523933395376,111.59838470392323,112.25751527096446,116.6735095752349
2023-03-01,108.01116029455258,110.43131003944228,111.97572032632468,114.56225543385278,121.6299079064199,110.63444380449977,111.40449828387429,112.02695643942266,116.43388100360106
2023-03-02,108.10392478148205,110.67255724067353,112.24152157630687,114.78597360562934,121.95106931395013,110.77136815998705,111.5996205834207,112.12288213455228,116.53358023070581
2023-03-03,108.7478316802915,111.24638397483085,112.82387012198569,115.45867480790481,122.50245900404133,111.36851511982854,112.17896387812527,112.78235206333302,117.218992435532
2023-03-06,108.77624768334813,111.33933192238428,112.90262579132443,115.47557644068054,122.52388389092583,111.38748626399362,112.24548459298187,112.81379371886334,117.25167094519544
2023-03-07,108.43227130974627,110.97091843065196,112.49255397017409,114.93870242343496,121.93046863713424,111.0226697816394,111.88119327561712,112.4547506030036,116.87850376511786
2023-03-08,108.31061875132752,110.61867864451087,112.13549389671516,114.76570026826036,121.6523038520536,110.87656873066084,111.62946646920857,112.3334238105331,116.75240421045667
2023-03-09,108.19780658255785,110.4845456967368,112.01335781816344,114.49686133285444,121.38074587124707,110.75585373893003,111.50083794068533,112.22149415962355,116.63607146279493
2023-03-10,107.1684663269555,109.20795253590975,110.70422776199888,113.0692278601149,119.40742179270947,109.54549139161011,110.2137318413974,111.1889072725875,115.56286459765934
2023-03-13,106.34448260596372,108.16063792809798,109.7403895582731,112.04728193924403,117.98873044238034,108.57713545031422,109.17884403093178,110.36191839158325,114.7033435678774
2023-03-14,107.18765135305009,109.01294207362326,110.68126660301469,113.09345052437423,119.17088769008757,109.39377679444316,110.04933013197773,111.21315853569871,115.5880698587235
2023-03-15,106.50982443286887,108.20807333550506,109.99148213928696,112.12691607844161,117.94776631143813,108.53069665802467,109.16853618674602,110.53247627694785,114.88061087174731
2023-03-16,108.07286334667836,109.5333157993736,111.33651737848527,113.73423562245084,119.66374522356813,110.10576218817533,110.6450056393333,112.1338263415347,116.54495496169888
2023-03-17,107.77436339345452,109.03983096778336,110.94435790564454,113.27319966623341,119.18042118088252,109.7658773914874,110.22673758625008,111.82928383589991,116.22843234081708
2023-03-20,107.77958526783647,109.16378194351724,111.11440439485713,113.45415410724242,119.49741241022735,109.81210074273875,110.32931777906363,111.83087539683332,116.23008651069028
2023-03-21,108.2492631914113,109.77806598854447,111.63481324838091,114.02069976438362,120.1287536524441,110.33352117423152,110.91181412526963,112.30480206589539,116.72265654154572
2023-03-22,108.24585697848879,109.90003218065792,111.77913710395234,113.96806134791018,120.13960868945183,110.39495098021766,111.02261417948225,112.29550751032005,116.71299635606682
2023-03-23,108.0218156009676,109.779818845965,111.7023164386436,113.71489295133313,119.8909083763386,110.1283074945151,110.80652908355279,112.07665248053411,116.48553199119395
2023-03-24,107.71207784476155,109.25573164881726,111.19037738193089,113.27962653711067,119.15832071566139,109.68057255846242,110.29552569420828,111.7661860860669,116.16285244710977
2023-03-27,108.1075251698038,109.80426320837408,111.68098959500017,113.88271344698266,119.94191058160375,110.18301653223412,110.8661283613631,112.16250107768676,116.57475770670827
2023-03-28,108.13145188714262,109.91616785715472,111.82307546725912,114.01908872850022,120.18851301095243,110.2708351849579,110.96802079752312,112.18253985858352,116.5955847746261
2023-03-29,108.6825678529625,110.52124955772256,112.42808033647862,114.72901130581279,120.98000186891365,110.89678722079432,111.6021789858535,112.74470277488629,117.17986209663678
2023-03-30,109.05740606461731,110.93808034568384,112.83742483815824,115.14616541456324,121.3532418178567,111.25812734724967,111.99243250145973,113.13505924163294,117.58557443447704
2023-03-31,109.61646028019342,111.45120463290696,113.419699367296,115.69664958785052,121.92696656923572,111.7802574284703,112.52454822668827,113.7103962894809,118.18354413297827
2023-04-03,109.73936333135848,111.60604279419606,113.58849707218792,115.83188982496442,122.03272508176495,111.9113772132085,112.6608507864394,113.833145943683,118.31112252200937
