,WF_max_sharpe,WF_min_variance,WF_min_cvar,P0_AP5_benchmark_OOS,IS_max_sharpe_lookahead,IS_min_variance_lookahead,IS_min_cvar_lookahead
2022-02-11,99.48116686505173,98.3189104494517,98.40155611969578,98.11724367325108,100.06681072146945,98.97226158923932,99.27656139909409
2022-02-14,98.56399323885431,97.29827162574973,97.34377685226137,97.01756233136959,99.14305060971806,97.88800666564397,98.18651341751735
2022-02-15,99.12547143488034,97.77641424416807,97.88401841151662,97.58252112597525,99.71625056579542,98.48631788056541,98.82095202868005
2022-02-16,99.07604917078878,97.90113997730376,97.96491394389363,97.65685084899745,99.64323031224188,98.50148432222316,98.80311676213658
2022-02-17,98.6225132336213,97.5224482982955,97.60435267407458,97.33436710801864,99.1879628205876,98.1421046502168,98.42370952233814
2022-02-18,98.03250324659297,97.08248027822674,97.08593727616449,96.76138126642925,98.59891470115039,97.58959712506055,97.84724737101403
2022-02-21,97.33559200310238,96.43059518700534,96.47273020114068,96.17123364778024,97.88022216496255,96.96251189266134,97.22218103385416
2022-02-22,97.65293645688631,96.59341102831299,96.67182920703462,96.38243328191126,98.21947397459101,97.19414892865713,97.47630362572413
2022-02-23,97.61047894788734,96.50588734390017,96.56247759862991,96.24479414194401,98.20526881113003,97.11603261389699,97.4070964160044
2022-02-24,96.55685526068717,95.23677040420368,95.2343674410454,94.87145881218999,97.11394638647508,95.72239109047423,95.98614284705752
2022-02-25,97.86949964250462,96.4994500648598,96.52987940843973,96.1838361451515,98.44928520689946,97.07388277264089,97.36639442360823
2022-02-28,98.00871543737112,96.78024241149899,96.81886760628235,96.4884531700758,98.55425800317055,97.28990284732843,97.57500634154896
2022-03-01,97.91823779635952,96.88473627240354,96.8298139414683,96.51347986357658,98.393882268685,97.12126478110093,97.31460417001595
2022-03-02,97.93740334326935,96.71743774973145,96.65167927236394,96.29277753339166,98.42739683389092,96.9670516646449,97.18560504598074
2022-03-03,97.70719535874241,96.35268848693933,96.32048726245034,95.96878755298376,98.23786058319524,96.71358493531724,96.96002128887933
2022-03-04,95.9414732374355,94.66693190502482,94.63992351698717,94.28367757636893,96.44911257101516,94.99618928585242,95.22785954396265
2022-03-07,95.93722197642204,94.38980116214604,94.31269681520352,93.93419800394362,96.47334454909424,94.68345228170156,94.89661586878776
2022-03-08,95.71547138715117,93.52774843594968,93.44628926188292,93.01810826377054,96.27354277314952,93.84006419825678,94.08439147736085
2022-03-09,97.09491486214266,95.05795437347447,95.06958808551569,94.6896449731649,97.66797485608514,95.55333275528366,95.84536743094746
2022-03-10,96.5760006415643,94.29833513930784,94.34077250019935,93.96030617822089,97.18441226622659,94.9091806041447,95.22728729301156
2022-03-11,97.08991914297687,94.96645490465025,94.97793171104593,94.60600480343805,97.69010174481679,95.49183922390512,95.78491031984882
