,ICVT
2019-10-31,47.9839973449707
2019-11-01,48.397193908691406
2019-11-04,48.527069091796875
2019-11-05,48.437782287597656
2019-11-06,48.35661315917969
2019-11-07,48.58389663696289
2019-11-08,48.74626159667969
2019-11-11,48.89643096923828
2019-11-12,48.851776123046875
2019-11-13,48.87614059448242
2019-11-14,48.87614059448242
2019-11-15,49.144020080566406
2019-11-18,49.217079162597656
2019-11-19,49.233314514160156
2019-11-20,49.24956512451172
2019-11-21,49.144020080566406
2019-11-22,49.17648696899414
2019-11-25,49.59861755371094
2019-11-26,49.748775482177734
2019-11-27,49.92329406738281
2019-11-29,49.77717971801758
2019-12-02,49.48619079589844
2019-12-03,49.41303634643555
2019-12-04,49.421173095703125
2019-12-05,49.55121612548828
2019-12-06,49.79507064819336
2019-12-09,49.68125915527344
2019-12-10,49.640625
2019-12-11,49.65689468383789
2019-12-12,49.843833923339844
2019-12-13,50.01454162597656
2019-12-16,50.331539154052734
2019-12-17,50.323429107666016
2019-12-18,50.486000061035156
2019-12-19,50.82252502441406
2019-12-20,50.9287109375
2019-12-23,51.10676956176758
2019-12-24,51.20643997192383
2019-12-26,51.377952575683594
2019-12-27,51.36980056762695
2019-12-30,51.06757736206055
2019-12-31,51.22275161743164
2020-01-02,51.77002716064453
2020-01-03,51.69651794433594
2020-01-06,51.810882568359375
2020-01-07,51.99874496459961
2020-01-08,52.227447509765625
2020-01-09,52.40717315673828
2020-01-10,52.333641052246094
2020-01-13,52.804954528808594
2020-01-14,52.9054069519043
2020-01-15,52.897239685058594
2020-01-16,53.07695007324219
2020-01-17,53.15863800048828
2020-01-21,53.101444244384766
2020-01-22,53.26482009887695
2020-01-23,53.3709831237793
2020-01-24,52.98708724975586
2020-01-27,52.521507263183594
2020-01-28,52.913578033447266
2020-01-29,52.79920959472656
2020-01-30,53.105525970458984
2020-01-31,52.61952590942383
2020-02-03,53.29594802856445
2020-02-04,54.3837890625
2020-02-05,53.9257698059082
2020-02-06,54.25292205810547
2020-02-07,54.04845428466797
2020-02-10,54.58009338378906
2020-02-11,54.80094909667969
2020-02-12,55.038124084472656
2020-02-13,55.29169464111328
2020-02-14,55.45527267456055
2020-02-18,55.741539001464844
2020-02-19,56.224143981933594
2020-02-20,56.12596130371094
2020-02-21,55.59430694580078
2020-02-24,54.01572799682617
2020-02-25,53.06694030761719
2020-02-26,52.756134033203125
2020-02-27,51.56193161010742
2020-02-28,51.651912689208984
2020-03-02,52.57817840576172
2020-03-03,52.111366271972656
2020-03-04,52.85662841796875
2020-03-05,52.25878143310547
2020-03-06,51.12041473388672
2020-03-09,47.78717041015625
2020-03-10,49.41695022583008
2020-03-11,46.820762634277344
2020-03-12,42.05437088012695
2020-03-13,45.256526947021484
2020-03-16,41.66944122314453
2020-03-17,42.58668518066406
2020-03-18,39.44346618652344
2020-03-19,39.53192901611328
2020-03-20,40.53925323486328
