,FLOT
2021-08-23,41.465702056884766
2021-08-24,41.482032775878906
2021-08-25,41.47385787963867
2021-08-26,41.47385787963867
2021-08-27,41.49020767211914
2021-08-30,41.482032775878906
2021-08-31,41.482032775878906
2021-09-01,41.48612594604492
2021-09-02,41.50246047973633
2021-09-03,41.48612594604492
2021-09-07,41.494293212890625
2021-09-08,41.494293212890625
2021-09-09,41.48612594604492
2021-09-10,41.494293212890625
2021-09-13,41.50246047973633
2021-09-14,41.50246047973633
2021-09-15,41.50246047973633
2021-09-16,41.48612594604492
2021-09-17,41.50246047973633
2021-09-20,41.48612594604492
2021-09-21,41.494293212890625
2021-09-22,41.50246047973633
2021-09-23,41.48612594604492
2021-09-24,41.48612594604492
2021-09-27,41.50246047973633
2021-09-28,41.518802642822266
2021-09-29,41.54332733154297
2021-09-30,41.54332733154297
2021-10-01,41.506534576416016
2021-10-04,41.49837112426758
2021-10-05,41.522891998291016
2021-10-06,41.51470947265625
2021-10-07,41.506534576416016
2021-10-08,41.506534576416016
2021-10-11,41.522891998291016
2021-10-12,41.506534576416016
2021-10-13,41.49018859863281
2021-10-14,41.51470947265625
2021-10-15,41.531063079833984
2021-10-18,41.531063079833984
2021-10-19,41.522891998291016
2021-10-20,41.531063079833984
2021-10-21,41.51470947265625
2021-10-22,41.51470947265625
2021-10-25,41.49837112426758
2021-10-26,41.51470947265625
2021-10-27,41.522891998291016
2021-10-28,41.522891998291016
2021-10-29,41.51470947265625
2021-11-01,41.495086669921875
2021-11-02,41.511444091796875
2021-11-03,41.511444091796875
2021-11-04,41.51961898803711
2021-11-05,41.511444091796875
2021-11-08,41.51961898803711
2021-11-09,41.51961898803711
2021-11-10,41.52779006958008
2021-11-11,41.51961898803711
2021-11-12,41.535980224609375
2021-11-15,41.535980224609375
2021-11-16,41.535980224609375
2021-11-17,41.51961898803711
2021-11-18,41.50326156616211
2021-11-19,41.47874450683594
2021-11-22,41.495086669921875
2021-11-23,41.495086669921875
2021-11-24,41.47874450683594
2021-11-26,41.47056198120117
2021-11-29,41.48691940307617
2021-11-30,41.47874450683594
2021-12-01,41.46646499633789
2021-12-02,41.45829391479492
2021-12-03,41.441932678222656
2021-12-06,41.45011520385742
2021-12-07,41.43375015258789
2021-12-08,41.441932678222656
2021-12-09,41.425559997558594
2021-12-10,41.425559997558594
2021-12-13,41.40922164916992
2021-12-14,41.41740798950195
2021-12-15,41.425559997558594
2021-12-16,41.423126220703125
2021-12-17,41.431304931640625
2021-12-20,41.423126220703125
2021-12-21,41.431304931640625
2021-12-22,41.431304931640625
2021-12-23,41.439476013183594
2021-12-27,41.447662353515625
2021-12-28,41.46403884887695
2021-12-29,41.47220230102539
2021-12-30,41.480377197265625
