,DBMF
2023-04-10,22.556989669799805
2023-04-11,22.582895278930664
2023-04-12,22.6865291595459
2023-04-13,22.755613327026367
2023-04-14,22.885150909423828
2023-04-17,23.01468849182129
2023-04-18,23.040597915649414
2023-04-19,23.006053924560547
2023-04-20,22.971513748168945
2023-04-21,22.971513748168945
2023-04-24,23.006053924560547
2023-04-25,22.729707717895508
2023-04-26,22.77288818359375
2023-04-27,22.941286087036133
2023-04-28,22.936965942382812
2023-05-01,23.161500930786133
2023-05-02,22.98878288269043
2023-05-03,22.902423858642578
2023-05-04,22.833335876464844
2023-05-05,22.954238891601562
2023-05-08,22.971513748168945
2023-05-09,23.07513999938965
2023-05-10,22.876514434814453
2023-05-11,22.82469940185547
2023-05-12,22.954238891601562
2023-05-15,23.101049423217773
2023-05-16,22.980146408081055
2023-05-17,23.05787467956543
2023-05-18,23.066505432128906
2023-05-19,23.118322372436523
2023-05-22,23.17013931274414
2023-05-23,23.118322372436523
2023-05-24,22.971513748168945
2023-05-25,23.066505432128906
2023-05-26,23.161500930786133
2023-05-30,23.196041107177734
2023-05-31,23.066505432128906
2023-06-01,23.03196144104004
2023-06-02,23.09241485595703
2023-06-05,23.006053924560547
2023-06-06,23.05787467956543
2023-06-07,23.135595321655273
2023-06-08,23.07513999938965
2023-06-09,23.178773880004883
2023-06-12,23.316946029663086
2023-06-13,23.386035919189453
2023-06-14,23.29967498779297
2023-06-15,23.377399444580078
2023-06-16,23.6019344329834
2023-06-20,23.52420997619629
2023-06-21,23.567392349243164
2023-06-22,23.748743057250977
2023-06-23,23.748743057250977
2023-06-26,23.77465057373047
2023-06-27,23.852373123168945
2023-06-28,23.921463012695312
2023-06-29,23.93009376525879
2023-06-30,23.861007690429688
2023-07-03,23.895551681518555
2023-07-05,23.90418815612793
2023-07-06,23.921463012695312
2023-07-07,23.73146629333496
2023-07-10,23.679655075073242
2023-07-11,23.662382125854492
2023-07-12,23.446483612060547
2023-07-13,23.377399444580078
2023-07-14,23.55011558532715
2023-07-17,23.61056900024414
2023-07-18,23.645111083984375
2023-07-19,23.619205474853516
2023-07-20,23.705562591552734
2023-07-21,23.73146629333496
2023-07-24,23.72283172607422
2023-07-25,23.6710205078125
2023-07-26,23.705562591552734
2023-07-27,23.705562591552734
2023-07-28,23.817829132080078
2023-07-31,23.77465057373047
2023-08-01,23.938730239868164
2023-08-02,23.94736671447754
2023-08-03,24.025094985961914
2023-08-04,23.78329086303711
2023-08-07,23.90418815612793
2023-08-08,23.90418815612793
2023-08-09,23.895551681518555
2023-08-10,23.981914520263672
2023-08-11,24.128721237182617
2023-08-14,24.042362213134766
2023-08-15,24.025094985961914
2023-08-16,24.033729553222656
2023-08-17,24.033729553222656
2023-08-18,24.042362213134766
2023-08-21,24.1805362701416
2023-08-22,24.1114501953125
2023-08-23,23.852373123168945
2023-08-24,23.90418815612793
2023-08-25,23.999187469482422
2023-08-28,23.96463966369629
2023-08-29,23.835102081298828
2023-08-30,23.956005096435547
2023-08-31,23.852373123168945
2023-09-01,23.938730239868164
2023-09-05,24.16326332092285
2023-09-06,24.189172744750977
2023-09-07,24.025094985961914
2023-09-08,24.137359619140625
2023-09-11,24.206445693969727
2023-09-12,24.266897201538086
2023-09-13,24.240989685058594
2023-09-14,24.396438598632812
2023-09-15,24.448251724243164
2023-09-18,24.448251724243164
2023-09-19,24.52597427368164
2023-09-20,24.422344207763672
2023-09-21,24.57778549194336
2023-09-22,24.50006675720215
2023-09-25,24.664146423339844
2023-09-26,24.767778396606445
2023-09-27,24.983673095703125
2023-09-28,24.95777130126953
2023-09-29,24.95777130126953
2023-10-02,25.018220901489258
2023-10-03,25.156394958496094
2023-10-04,24.828231811523438
2023-10-05,24.802324295043945
2023-10-06,24.983673095703125
2023-10-09,24.75050926208496
2023-10-10,24.785053253173828
2023-10-11,24.612333297729492
2023-10-12,24.79368782043457
2023-10-13,24.698692321777344
2023-10-16,24.87141227722168
2023-10-17,25.182302474975586
2023-10-18,25.070035934448242
2023-10-19,25.14776039123535
2023-10-20,24.983673095703125
2023-10-23,24.802324295043945
2023-10-24,24.715965270996094
2023-10-25,24.949132919311523
2023-10-26,24.785053253173828
2023-10-27,24.785053253173828
2023-10-30,24.715965270996094
2023-10-31,24.862773895263672
2023-11-01,24.603696823120117
2023-11-02,24.413707733154297
2023-11-03,24.102815628051758
2023-11-06,24.223718643188477
2023-11-07,24.154626846313477
2023-11-08,24.102815628051758
2023-11-09,24.327346801757812
2023-11-10,24.361892700195312
2023-11-13,24.387802124023438
2023-11-14,23.826465606689453
2023-11-15,24.00782012939453
2023-11-16,23.800556182861328
2023-11-17,23.740108489990234
2023-11-20,23.662382125854492
2023-11-21,23.6710205078125
2023-11-22,23.869646072387695
2023-11-24,23.835102081298828
2023-11-27,23.679655075073242
2023-11-28,23.54148292541504
2023-11-29,23.42057991027832
2023-11-30,23.567392349243164
2023-12-01,23.239221572875977
2023-12-04,23.41193962097168
2023-12-05,23.22195053100586
2023-12-06,23.239221572875977
2023-12-07,23.03196144104004
2023-12-08,23.28240394592285
2023-12-11,23.394672393798828
2023-12-12,23.2651309967041
2023-12-13,23.101049423217773
2023-12-14,22.867881774902344
2023-12-15,23.006053924560547
2023-12-18,22.98878288269043
2023-12-19,22.98878288269043
2023-12-20,22.962875366210938
2023-12-21,22.902423858642578
