,GBP
2020-10-26,1.1806800365447998
2020-10-27,1.1817599534988403
2020-10-28,1.184309959411621
2020-10-29,1.1826499700546265
2020-10-30,1.1835399866104126
2020-11-02,1.1854499578475952
2020-11-03,1.187000036239624
2020-11-04,1.1946200132369995
2020-11-05,1.1816999912261963
2020-11-06,1.1880899667739868
2020-11-09,1.18517005443573
2020-11-10,1.201859951019287
2020-11-11,1.2132699489593506
2020-11-12,1.2121000289916992
2020-11-13,1.2002999782562256
2020-11-16,1.2057000398635864
2020-11-17,1.206130027770996
2020-11-18,1.2077000141143799
2020-11-19,1.2087500095367432
2020-11-20,1.2069000005722046
2020-11-23,1.2113200426101685
2020-11-24,1.2160600423812866
2020-11-25,1.2171299457550049
2020-11-26,1.215559959411621
2020-11-27,1.2103300094604492
2020-11-30,1.2054100036621094
2020-12-01,1.2111999988555908
2020-12-02,1.2072199583053589
2020-12-03,1.1959400177001953
2020-12-04,1.1984399557113647
2020-12-07,1.1963000297546387
2020-12-08,1.1894700527191162
2020-12-09,1.1875
2020-12-10,1.188730001449585
2020-12-11,1.1785900592803955
2020-12-14,1.183210015296936
2020-12-15,1.1817799806594849
2020-12-16,1.1904900074005127
2020-12-17,1.1953699588775635
2020-12-18,1.200410008430481
2020-12-21,1.186710000038147
2020-12-22,1.1909899711608887
2020-12-23,1.1896100044250488
2020-12-24,1.1989699602127075
2020-12-25,1.2022299766540527
2020-12-28,1.206969976425171
2020-12-29,1.1958999633789062
2020-12-30,1.1934399604797363
2020-12-31,1.2014800310134888
2021-01-01,1.2266199588775635
2021-01-04,1.2082600593566895
2021-01-05,1.1957900524139404
2021-01-06,1.1967600584030151
2021-01-07,1.1962100267410278
2021-01-08,1.200950026512146
2021-01-11,1.1995799541473389
2021-01-12,1.2029500007629395
2021-01-13,1.2110999822616577
2021-01-14,1.2106399536132812
2021-01-15,1.2152899503707886
2021-01-18,1.2110899686813354
2021-01-19,1.2098000049591064
2021-01-20,1.2115600109100342
2021-01-21,1.2153300046920776
2021-01-22,1.2153799533843994
2021-01-25,1.2118300199508667
2021-01-26,1.2144299745559692
2021-01-27,1.218000054359436
2021-01-28,1.2153600454330444
2021-01-29,1.2195500135421753
2021-02-01,1.2207900285720825
2021-02-02,1.2261199951171875
2021-02-03,1.2260500192642212
2021-02-04,1.2261500358581543
2021-02-05,1.2360999584197998
2021-02-08,1.2350000143051147
2021-02-09,1.2351100444793701
2021-02-10,1.232800006866455
2021-02-11,1.2310600280761719
2021-02-12,1.2291799783706665
2021-02-15,1.2368299961090088
2021-02-16,1.238029956817627
2021-02-17,1.24058997631073
2021-02-18,1.2457599639892578
2021-02-19,1.2510299682617188
2021-02-22,1.258080005645752
2021-02-23,1.26010000705719
2021-02-24,1.2776299715042114
2021-02-25,1.282539963722229
