,JAAA
2023-12-29,43.74261474609375
2024-01-02,43.794795989990234
2024-01-03,43.77739334106445
2024-01-04,43.760013580322266
2024-01-05,43.803489685058594
2024-01-08,43.81218338012695
2024-01-09,43.82088851928711
2024-01-10,43.83828353881836
2024-01-11,43.86436080932617
2024-01-12,43.89046859741211
2024-01-16,43.9078483581543
2024-01-17,43.942630767822266
2024-01-18,43.96001434326172
2024-01-19,43.9774169921875
2024-01-22,43.96872329711914
2024-01-23,43.99480438232422
2024-01-24,43.99480438232422
2024-01-25,44.02960968017578
2024-01-26,44.02960968017578
2024-01-29,44.046993255615234
2024-01-30,44.046993255615234
2024-01-31,44.03828430175781
2024-02-01,44.082008361816406
2024-02-02,44.07327651977539
2024-02-05,44.125728607177734
2024-02-06,44.14320373535156
2024-02-07,44.15194320678711
2024-02-08,44.1694450378418
2024-02-09,44.1694450378418
2024-02-12,44.17818832397461
2024-02-13,44.1694450378418
2024-02-14,44.186920166015625
2024-02-15,44.221893310546875
2024-02-16,44.23063659667969
2024-02-20,44.24812698364258
2024-02-21,44.26561737060547
2024-02-22,44.256866455078125
2024-02-23,44.2830924987793
2024-02-26,44.2830924987793
2024-02-27,44.309326171875
2024-02-28,44.30057907104492
2024-02-29,44.326805114746094
2024-03-01,44.34613800048828
2024-03-04,44.363731384277344
2024-03-05,44.37250900268555
2024-03-06,44.363731384277344
2024-03-07,44.39008712768555
2024-03-08,44.39888381958008
2024-03-11,44.39888381958008
2024-03-12,44.416446685791016
2024-03-13,44.43402862548828
2024-03-14,44.451602935791016
2024-03-15,44.46039581298828
2024-03-18,44.469181060791016
2024-03-19,44.469181060791016
2024-03-20,44.48676300048828
2024-03-21,44.513126373291016
2024-03-22,44.530704498291016
2024-03-25,44.530704498291016
2024-03-26,44.521907806396484
2024-03-27,44.56584548950195
2024-03-28,44.592220306396484
2024-04-01,44.609886169433594
2024-04-02,44.609886169433594
2024-04-03,44.609886169433594
2024-04-04,44.65406799316406
2024-04-05,44.67173385620117
2024-04-08,44.68940353393555
2024-04-09,44.68940353393555
2024-04-10,44.67173385620117
2024-04-11,44.680572509765625
2024-04-12,44.74242401123047
2024-04-15,44.73358154296875
2024-04-16,44.74242401123047
2024-04-17,44.7689323425293
2024-04-18,44.80426788330078
2024-04-19,44.8131103515625
2024-04-22,44.8131103515625
2024-04-23,44.80426788330078
2024-04-24,44.830772399902344
2024-04-25,44.86611557006836
2024-04-26,44.87495040893555
2024-04-29,44.87495040893555
2024-04-30,44.87495040893555
2024-05-01,44.896278381347656
2024-05-02,44.93180465698242
2024-05-03,44.93180465698242
2024-05-06,44.958465576171875
2024-05-07,44.96733093261719
2024-05-08,44.96733093261719
2024-05-09,45.002864837646484
2024-05-10,45.02953338623047
2024-05-13,45.03840637207031
2024-05-14,45.047279357910156
2024-05-15,45.056175231933594
2024-05-16,45.073936462402344
2024-05-17,45.100589752197266
2024-05-20,45.11835479736328
2024-05-21,45.12724685668945
2024-05-22,45.12724685668945
2024-05-23,45.180545806884766
2024-05-24,45.189414978027344
2024-05-28,45.180545806884766
2024-05-29,45.207191467285156
2024-05-30,45.22494888305664
2024-05-31,45.24271774291992
2024-06-03,45.257015228271484
2024-06-04,45.257015228271484
2024-06-05,45.257015228271484
2024-06-06,45.257015228271484
2024-06-07,45.28379440307617
2024-06-10,45.292724609375
2024-06-11,45.3016471862793
2024-06-12,45.3016471862793
2024-06-13,45.310569763183594
2024-06-14,45.310569763183594
2024-06-17,45.33735656738281
2024-06-18,45.34628677368164
2024-06-20,45.34628677368164
