,IGF
2019-07-15,38.19454574584961
2019-07-16,37.90903091430664
2019-07-17,38.015071868896484
2019-07-18,38.11297607421875
2019-07-19,37.884552001953125
2019-07-22,37.79481506347656
2019-07-23,37.61534881591797
2019-07-24,37.61534881591797
2019-07-25,37.29719543457031
2019-07-26,37.29719543457031
2019-07-29,37.35430145263672
2019-07-30,37.093257904052734
2019-07-31,36.913780212402344
2019-08-01,36.9464111328125
2019-08-02,36.88114547729492
2019-08-05,36.138790130615234
2019-08-06,36.30194854736328
2019-08-07,36.67720413208008
2019-08-08,36.8566780090332
2019-08-09,36.8566780090332
2019-08-12,36.62825393676758
2019-08-13,36.84851837158203
2019-08-14,35.91038131713867
2019-08-15,36.22037124633789
2019-08-16,36.59563064575195
2019-08-19,36.938255310058594
2019-08-20,36.815895080566406
2019-08-21,37.06061935424805
2019-08-22,36.84851837158203
2019-08-23,36.448787689208984
2019-08-26,36.709835052490234
2019-08-27,36.84035873413086
2019-08-28,36.76694107055664
2019-08-29,37.085086822509766
2019-08-30,37.085086822509766
2019-09-03,37.215614318847656
2019-09-04,37.76219177246094
2019-09-05,37.73771286010742
2019-09-06,37.811134338378906
2019-09-09,37.54193115234375
2019-09-10,37.4766731262207
2019-09-11,37.599029541015625
2019-09-12,37.58271789550781
2019-09-13,37.43587875366211
2019-09-16,37.02798843383789
2019-09-17,37.509300231933594
2019-09-18,37.599029541015625
2019-09-19,37.72955322265625
2019-09-20,37.64798355102539
2019-09-23,37.7540283203125
2019-09-24,37.87639236450195
2019-09-25,37.64798355102539
2019-09-26,37.91718673706055
2019-09-27,37.72140121459961
2019-09-30,37.90903091430664
2019-10-01,37.76219177246094
2019-10-02,37.2727165222168
2019-10-03,37.48482894897461
2019-10-04,37.778507232666016
2019-10-07,37.67245864868164
2019-10-08,37.30535888671875
2019-10-09,37.77034378051758
2019-10-10,37.86823272705078
2019-10-11,38.11297607421875
2019-10-14,37.860076904296875
2019-10-15,38.023231506347656
2019-10-16,37.94981384277344
2019-10-17,38.13744354248047
2019-10-18,38.21085739135742
2019-10-21,38.30059814453125
2019-10-22,38.382171630859375
2019-10-23,38.34138870239258
2019-10-24,38.54533386230469
2019-10-25,38.37401580810547
2019-10-28,38.25165557861328
2019-10-29,38.16191101074219
2019-10-30,38.227176666259766
2019-10-31,38.48007583618164
2019-11-01,38.855323791503906
2019-11-04,38.68401336669922
2019-11-05,38.39849090576172
2019-11-06,38.21085739135742
2019-11-07,38.08033752441406
2019-11-08,38.072174072265625
2019-11-11,37.933494567871094
2019-11-12,37.90086364746094
2019-11-13,38.15375518798828
2019-11-14,38.08849334716797
2019-11-15,38.406646728515625
2019-11-18,38.463748931884766
2019-11-19,38.439273834228516
2019-11-20,38.42296600341797
2019-11-21,38.25981140136719
2019-11-22,38.25981140136719
2019-11-25,38.25981140136719
2019-11-26,38.357704162597656
2019-11-27,38.463748931884766
2019-11-29,38.18639373779297
2019-12-02,37.819297790527344
2019-12-03,37.860076904296875
2019-12-04,38.08033752441406
2019-12-05,38.064022064208984
2019-12-06,38.26796340942383
2019-12-09,38.15375518798828
2019-12-10,38.30059814453125
2019-12-11,38.66769790649414
2019-12-12,38.700321197509766
2019-12-13,38.928741455078125
2019-12-16,39.327659606933594
2019-12-17,39.493526458740234
2019-12-18,39.526702880859375
2019-12-19,39.53499221801758
2019-12-20,39.7838020324707
2019-12-23,39.6262321472168
2019-12-24,39.69257354736328
2019-12-26,39.80039596557617
2019-12-27,39.875030517578125
2019-12-30,39.6262321472168
