,CSBGC0.SW
2022-02-21,98.9706039428711
2022-02-22,98.61493682861328
2022-02-23,98.39607238769531
2022-02-24,98.83380889892578
2022-02-25,98.30489349365234
2022-02-28,98.82923889160156
2022-03-01,100.33390808105469
2022-03-02,99.96458435058594
2022-03-03,99.34903717041016
2022-03-04,99.68645477294922
2022-03-07,99.709228515625
2022-03-08,99.14385986328125
2022-03-09,98.35047912597656
2022-03-10,97.66654205322266
2022-03-11,97.90364074707031
2022-03-14,97.41120910644531
2022-03-15,96.92333221435547
2022-03-16,97.11939239501953
2022-03-17,97.25162506103516
2022-03-18,97.429443359375
2022-03-21,96.83668518066406
2022-03-22,96.25762939453125
2022-03-23,96.52207946777344
2022-03-24,96.5357666015625
2022-03-25,95.83358001708984
2022-03-28,95.44601440429688
2022-03-29,94.7210464477539
2022-03-30,94.06901550292969
2022-03-31,94.99007415771484
2022-04-01,95.3685073852539
2022-04-04,96.07067108154297
2022-04-05,95.06757354736328
2022-04-06,94.77574920654297
2022-04-07,94.59793090820312
2022-04-08,94.61617279052734
2022-04-11,93.2756576538086
2022-04-12,93.1935806274414
2022-04-13,93.32123565673828
2022-04-14,93.6495361328125
2022-04-19,92.41387939453125
2022-04-20,93.17078399658203
2022-04-21,93.21636962890625
2022-04-22,92.86529541015625
2022-04-25,92.89265441894531
2022-04-26,93.82281494140625
2022-04-27,94.04165649414062
2022-04-28,93.28475952148438
2022-04-29,93.34404754638672
2022-05-02,93.01576232910156
2022-05-03,93.48538208007812
2022-05-04,93.31668090820312
2022-05-05,93.17535400390625
2022-05-06,91.64787292480469
2022-05-09,92.263427734375
2022-05-10,92.91089630126953
2022-05-11,92.99752044677734
2022-05-12,94.7210464477539
2022-05-13,94.23772430419922
2022-05-16,94.488525390625
2022-05-17,93.62217712402344
2022-05-18,94.2468490600586
2022-05-19,94.88520050048828
2022-05-20,94.30156707763672
2022-05-23,94.76207733154297
2022-05-24,94.59793090820312
2022-05-25,94.65264892578125
2022-05-27,94.53411102294922
2022-05-30,93.2574234008789
2022-05-31,93.15253448486328
2022-06-01,92.8835220336914
2022-06-02,92.16311645507812
2022-06-03,91.70259094238281
2022-06-07,91.9761734008789
2022-06-08,91.21015930175781
2022-06-09,90.97306823730469
2022-06-10,91.22838592529297
2022-06-13,89.91521453857422
2022-06-14,89.33158874511719
2022-06-15,89.5869369506836
2022-06-16,88.38138580322266
2022-06-17,88.25736236572266
2022-06-20,88.13516235351562
2022-06-21,88.53641510009766
2022-06-22,89.22216796875
2022-06-23,90.50067901611328
2022-06-24,90.35659790039062
2022-06-27,89.40455627441406
2022-06-28,88.77534484863281
2022-06-29,90.2161636352539
2022-06-30,91.88040161132812
2022-07-01,93.83192443847656
2022-07-04,92.6373062133789
2022-07-05,93.9231185913086
2022-07-06,94.65264892578125
2022-07-07,94.11005401611328
2022-07-08,93.234619140625
2022-07-11,93.74530029296875
2022-07-12,94.67544555664062
2022-07-13,94.68000793457031
2022-07-14,94.39275360107422
2022-07-15,94.59793090820312
2022-07-18,93.84561920166016
2022-07-19,93.77681732177734
2022-07-20,93.20362854003906
2022-07-21,94.42115020751953
2022-07-22,95.63865661621094
2022-07-25,95.88768005371094
2022-07-26,96.6440200805664
2022-07-27,97.10980987548828
2022-07-28,98.31807708740234
2022-07-29,98.04598236083984
2022-08-02,98.31807708740234
2022-08-03,97.349609375
2022-08-04,98.65473175048828
2022-08-05,96.69934844970703
2022-08-08,97.96297454833984
2022-08-09,97.64015197753906
2022-08-10,98.59938049316406
2022-08-11,97.93070220947266
2022-08-12,97.73699951171875
2022-08-15,98.5394515991211
2022-08-16,98.14282989501953
2022-08-17,97.54791259765625
2022-08-18,97.57096862792969
2022-08-19,96.4549331665039
2022-08-22,95.84156036376953
2022-08-23,95.22358703613281
2022-08-24,94.55026245117188
2022-08-25,95.22358703613281
2022-08-26,94.81775665283203
2022-08-29,94.09832763671875
2022-08-30,95.40343475341797
2022-08-31,95.4634017944336
2022-09-01,94.72551727294922
2022-09-02,94.66094970703125
2022-09-05,93.92768096923828
2022-09-06,93.98764038085938
2022-09-07,94.08447265625
2022-09-08,93.96456909179688
2022-09-09,93.44805908203125
2022-09-12,93.80316162109375
2022-09-13,92.96382141113281
2022-09-14,92.05255126953125
2022-09-15,92.27667999267578
2022-09-16,92.90849304199219
2022-09-19,92.07652282714844
2022-09-20,90.65794372558594
2022-09-21,91.34786987304688
2022-09-22,90.37755584716797
2022-09-23,90.70221710205078
2022-09-26,90.83872985839844
2022-09-27,90.08609771728516
2022-09-28,89.8204574584961
2022-09-29,90.53434753417969
2022-09-30,91.33863830566406
2022-10-03,93.47111511230469
2022-10-04,94.3335189819336
2022-10-05,92.73324584960938
2022-10-06,91.76292419433594
2022-10-07,89.81858825683594
2022-10-10,89.98462677001953
2022-10-11,89.20985412597656
2022-10-12,89.33898162841797
2022-10-13,90.28900146484375
2022-10-14,90.73175048828125
2022-10-17,90.98075866699219
2022-10-18,90.86087799072266
2022-10-19,90.61183166503906
2022-10-20,90.84793853759766
2022-10-21,90.1488037109375
2022-10-24,91.06193542480469
2022-10-25,91.43086242675781
2022-10-26,91.89944458007812
2022-10-27,92.40579986572266
2022-10-28,92.64098358154297
2022-10-31,92.64098358154297
2022-11-01,92.43807983398438
2022-11-02,92.5118637084961
2022-11-03,91.98428344726562
2022-11-04,91.3146743774414
2022-11-07,91.72603607177734
2022-11-08,91.71865844726562
2022-11-09,92.56260681152344
2022-11-10,93.91845703125
2022-11-11,92.23517608642578
2022-11-14,91.62640380859375
2022-11-15,92.6179428100586
2022-11-16,93.10218048095703
2022-11-17,93.04682922363281
2022-11-18,93.33737182617188
2022-11-21,93.68787384033203
2022-11-22,93.57718658447266
2022-11-23,94.00147247314453
2022-11-24,94.25973510742188
2022-11-25,92.5118637084961
2022-11-28,93.15753173828125
2022-11-29,93.23131561279297
2022-11-30,92.77013397216797
2022-12-01,93.38349914550781
2022-12-02,93.56334686279297
2022-12-05,92.47498321533203
2022-12-06,93.50341033935547
2022-12-07,92.90386962890625
2022-12-08,93.51721954345703
2022-12-09,91.86621856689453
2022-12-12,92.29974365234375
2022-12-13,92.13369750976562
2022-12-14,92.52571868896484
2022-12-15,91.88467407226562
2022-12-16,91.31649017333984
2022-12-19,90.9881591796875
2022-12-20,90.19307708740234
2022-12-21,89.60647583007812
2022-12-22,88.54945373535156
2022-12-23,88.63798522949219
2022-12-27,87.81710052490234
2022-12-28,88.75420379638672
2022-12-29,88.68043518066406
2022-12-30,88.531005859375
2023-01-03,89.60647583007812
2023-01-04,90.3830795288086
2023-01-05,89.7817153930664
2023-01-06,90.14328002929688
2023-01-09,90.35173034667969
2023-01-10,89.88871002197266
2023-01-11,91.10621643066406
2023-01-12,92.0082778930664
2023-01-13,92.53955078125
2023-01-16,91.95477294921875
2023-01-17,92.7382583618164
2023-01-18,93.24420166015625
2023-01-19,92.7929458618164
2023-01-20,92.6471939086914
2023-01-23,92.01376342773438
2023-01-24,92.17447662353516
2023-01-25,92.05113220214844
2023-01-26,92.23798370361328
2023-01-27,91.94090270996094
2023-01-30,91.59709167480469
2023-01-31,91.15798950195312
2023-02-01,91.89791870117188
2023-02-02,93.14984130859375
2023-02-03,92.14643859863281
2023-02-06,91.01783752441406
2023-02-07,90.89452362060547
2023-02-08,90.87396240234375
2023-02-09,91.412109375
2023-02-10,90.43112182617188
2023-02-13,90.30220031738281
2023-02-14,90.3152847290039
2023-02-15,89.93783569335938
2023-02-16,90.07798767089844
2023-02-17,90.50399780273438
2023-02-20,90.23680114746094
2023-02-21,90.08357238769531
2023-02-22,90.462890625
2023-02-23,90.74691772460938
2023-02-24,90.46475982666016
2023-02-27,90.27978515625
2023-02-28,90.19569396972656
2023-03-01,90.1714096069336
2023-03-02,89.465087890625
2023-03-03,89.80517578125
2023-03-06,89.62019348144531
2023-03-07,89.54171752929688
2023-03-08,90.77119445800781
2023-03-09,90.802978515625
2023-03-10,91.99695587158203
2023-03-13,93.0321273803711
2023-03-14,92.52574920654297
2023-03-15,93.12928009033203
2023-03-16,94.45406341552734
2023-03-17,95.29491424560547
2023-03-20,94.72969818115234
2023-03-21,93.80008697509766
2023-03-22,93.30117797851562
2023-03-23,93.00969696044922
2023-03-24,93.93089294433594
2023-03-27,93.11808776855469
2023-03-28,92.7929458618164
2023-03-29,92.6546859741211
2023-03-30,92.47342681884766
2023-03-31,92.60796356201172
2023-04-03,92.60236358642578
2023-04-04,92.35198211669922
2023-04-05,93.5478286743164
2023-04-06,93.74869537353516
2023-04-11,92.65654754638672
2023-04-12,94.5054702758789
2023-04-13,93.89350891113281
2023-04-14,93.42637634277344
2023-04-17,93.53382110595703
2023-04-18,93.7113265991211
2023-04-19,93.46372985839844
2023-04-20,93.482421875
2023-04-21,93.33293914794922
2023-04-24,92.94055938720703
2023-04-25,93.88417053222656
2023-04-26,93.83744812011719
2023-04-27,93.15544128417969
2023-04-28,93.5711898803711
2023-05-02,94.23453521728516
2023-05-03,93.79539489746094
2023-05-04,94.22517395019531
2023-05-05,93.70665740966797
2023-05-08,93.55252075195312
2023-05-09,93.68331146240234
2023-05-10,93.61790466308594
2023-05-11,94.92121124267578
2023-05-12,94.9865951538086
2023-05-15,94.36065673828125
2023-05-16,94.62223815917969
2023-05-17,94.65026092529297
2023-05-19,94.22982788085938
2023-05-22,94.13174438476562
2023-05-23,93.92154693603516
2023-05-24,94.24385833740234
2023-05-25,94.0570068359375
2023-05-26,94.41669464111328
2023-05-30,95.14075469970703
2023-05-31,96.06099700927734
2023-06-01,96.26187896728516
2023-06-02,96.11238861083984
2023-06-05,95.37432098388672
2023-06-06,95.66393280029297
2023-06-07,95.26219940185547
2023-06-08,94.97257232666016
2023-06-09,94.86048126220703
2023-06-12,95.01461791992188
2023-06-13,94.88381958007812
2023-06-14,94.36065673828125
2023-06-15,94.52882385253906
2023-06-16,94.31391906738281
2023-06-19,93.89350891113281
2023-06-20,95.13140869140625
2023-06-21,94.95856475830078
2023-06-22,94.5661849975586
2023-06-23,95.49577331542969
2023-06-26,95.3883285522461
2023-06-27,95.79940032958984
2023-06-28,95.68262481689453
2023-06-29,94.79507446289062
2023-06-30,95.16411590576172
2023-07-03,95.44438171386719
2023-07-04,95.19214630126953
2023-07-05,95.3883285522461
2023-07-06,94.1270751953125
2023-07-07,94.45406341552734
2023-07-10,93.81877136230469
2023-07-11,93.482421875
2023-07-12,93.96826171875
2023-07-13,94.87450408935547
2023-07-14,94.90251159667969
2023-07-17,94.86515045166016
2023-07-18,95.86546325683594
2023-07-19,95.57428741455078
2023-07-20,95.84339904785156
2023-07-21,95.96143341064453
2023-07-24,96.36746978759766
2023-07-25,95.91421508789062
2023-07-26,95.85284423828125
2023-07-27,95.84339904785156
2023-07-28,95.4798583984375
2023-07-31,94.93218231201172
2023-08-02,95.48458862304688
2023-08-03,94.89913177490234
