,CHSRI.SW
2018-11-15,10.217458724975586
2018-11-16,10.217458724975586
2018-11-19,10.115873336791992
2018-11-20,9.997363090515137
2018-11-21,9.997363090515137
2018-11-22,10.098944664001465
2018-11-23,10.115873336791992
2018-11-26,10.2936429977417
2018-11-27,10.192061424255371
2018-11-28,10.225922584533691
2018-11-29,10.352898597717285
2018-11-30,10.349513053894043
2018-12-03,10.412155151367188
2018-12-04,10.285178184509277
2018-12-05,10.242854118347168
2018-12-06,9.921175956726074
2018-12-07,9.917787551879883
2018-12-10,9.734942436218262
2018-12-11,9.81959342956543
2018-12-12,10.073548316955566
2018-12-13,10.073548316955566
2018-12-14,9.946571350097656
2018-12-17,9.734942436218262
2018-12-18,9.743408203125
2018-12-19,9.701081275939941
2018-12-20,9.497915267944336
2018-12-21,9.489453315734863
2018-12-27,9.277822494506836
2018-12-28,9.506382942199707
2019-01-03,9.438660621643066
2019-01-04,9.44035530090332
2019-01-07,9.718012809753418
2019-01-08,9.81959342956543
2019-01-09,9.929640769958496
2019-01-10,10.005827903747559
2019-01-11,10.005827903747559
2019-01-14,9.938106536865234
2019-01-15,9.96350383758545
2019-01-16,9.961810111999512
2019-01-17,10.14126968383789
2019-01-18,10.225922584533691
2019-01-21,10.2936429977417
2019-01-22,10.225922584533691
2019-01-23,10.225922584533691
2019-01-24,10.225922584533691
2019-01-25,10.302107810974121
2019-01-28,10.25131607055664
2019-01-29,10.249624252319336
2019-01-30,10.2936429977417
2019-01-31,10.249624252319336
2019-02-01,10.253010749816895
2019-02-04,10.205606460571289
2019-02-05,10.330889701843262
2019-02-06,10.388452529907227
2019-02-07,10.249624252319336
2019-02-08,10.158202171325684
2019-02-11,10.232694625854492
2019-02-12,10.303800582885742
2019-02-13,10.361364364624023
2019-02-14,10.351205825805664
2019-02-15,10.446015357971191
2019-02-18,10.503580093383789
2019-02-19,10.422314643859863
2019-02-20,10.506966590881348
2019-02-21,10.493419647216797
2019-02-22,10.527281761169434
2019-02-25,10.608546257019043
2019-02-26,10.65933895111084
2019-02-27,10.540826797485352
2019-02-28,10.503580093383789
2019-03-01,10.581459999084473
2019-03-04,10.581459999084473
2019-03-05,10.62547779083252
2019-03-06,10.655952453613281
2019-03-07,10.490035057067871
2019-03-08,10.405384063720703
2019-03-11,10.456174850463867
2019-03-12,10.520508766174316
2019-03-13,10.520508766174316
2019-03-14,10.69320011138916
2019-03-15,10.723672866821289
2019-03-18,10.764305114746094
2019-03-19,10.842185020446777
2019-03-20,10.669496536254883
2019-03-21,10.689812660217285
2019-03-22,10.506966590881348
2019-03-25,10.462945938110352
2019-03-26,10.523896217346191
2019-03-27,10.561141967773438
2019-03-28,10.615320205688477
2019-03-29,10.669496536254883
