,AGGS.SW
2023-11-02,4.393599987030029
2023-11-03,4.423099994659424
2023-11-06,4.404799938201904
2023-11-07,4.410200119018555
2023-11-08,4.429900169372559
2023-11-09,4.426000118255615
2023-11-10,4.417900085449219
2023-11-13,4.413899898529053
2023-11-14,4.444300174713135
2023-11-15,4.4375
2023-11-16,4.4608001708984375
2023-11-17,4.453199863433838
2023-11-20,4.453000068664551
2023-11-21,4.4670000076293945
2023-11-22,4.472700119018555
2023-11-23,4.463900089263916
2023-11-24,4.455599784851074
2023-11-27,4.463699817657471
2023-11-28,4.465000152587891
2023-11-29,4.499899864196777
2023-11-30,4.494999885559082
2023-12-01,4.49459981918335
2023-12-04,4.507999897003174
2023-12-05,4.528900146484375
2023-12-06,4.54610013961792
2023-12-07,4.545199871063232
2023-12-08,4.520999908447266
2023-12-11,4.517399787902832
2023-12-12,4.522600173950195
2023-12-13,4.537099838256836
2023-12-14,4.593800067901611
2023-12-15,4.597700119018555
2023-12-18,4.587299823760986
2023-12-19,4.5991997718811035
2023-12-20,4.610499858856201
2023-12-21,4.611400127410889
2023-12-22,4.617499828338623
2023-12-27,4.629899978637695
2023-12-28,4.628499984741211
2023-12-29,4.613999843597412
2024-01-03,4.584199905395508
2024-01-04,4.576300144195557
2024-01-05,4.578000068664551
2024-01-08,4.580399990081787
2024-01-09,4.576499938964844
2024-01-10,4.574100017547607
2024-01-11,4.573999881744385
2024-01-12,4.5960001945495605
2024-01-15,4.5802001953125
2024-01-16,4.581999778747559
2024-01-17,4.559000015258789
2024-01-18,4.553999900817871
2024-01-19,4.544899940490723
2024-01-22,4.559999942779541
2024-01-23,4.547900199890137
2024-01-24,4.547999858856201
2024-01-25,4.548099994659424
2024-01-26,4.550000190734863
2024-01-29,4.560999870300293
2024-01-30,4.560999870300293
2024-01-31,4.595300197601318
2024-02-01,4.604499816894531
2024-02-02,4.594099998474121
2024-02-05,4.543099880218506
2024-02-06,4.554900169372559
2024-02-07,4.558700084686279
2024-02-08,4.54010009765625
2024-02-09,4.535099983215332
2024-02-12,4.537099838256836
2024-02-13,4.531400203704834
2024-02-14,4.532599925994873
2024-02-15,4.545000076293945
2024-02-16,4.527200222015381
2024-02-19,4.53249979019165
2024-02-20,4.536799907684326
2024-02-21,4.532100200653076
2024-02-22,4.531000137329102
2024-02-23,4.53410005569458
2024-02-26,4.5370001792907715
2024-02-27,4.5329999923706055
2024-02-28,4.53000020980835
2024-02-29,4.547900199890137
2024-03-01,4.550600051879883
2024-03-04,4.548500061035156
2024-03-05,4.566299915313721
2024-03-06,4.5690999031066895
2024-03-07,4.577099800109863
2024-03-08,4.581900119781494
2024-03-11,4.576000213623047
2024-03-12,4.5690999031066895
2024-03-13,4.566299915313721
2024-03-14,4.547999858856201
2024-03-15,4.54040002822876
2024-03-18,4.532100200653076
2024-03-19,4.544300079345703
2024-03-20,4.547999858856201
2024-03-21,4.559100151062012
2024-03-22,4.562099933624268
2024-03-25,4.554299831390381
2024-03-26,4.55210018157959
2024-03-27,4.572299957275391
2024-03-28,4.57289981842041
2024-04-02,4.532100200653076
2024-04-03,4.537700176239014
2024-04-04,4.551799774169922
2024-04-05,4.540999889373779
