,EUR
2021-08-11,1.0820200443267822
2021-08-12,1.083240032196045
2021-08-15,1.0794999599456787
2021-08-16,1.0747900009155273
2021-08-17,1.0713000297546387
2021-08-18,1.0736000537872314
2021-08-19,1.0729800462722778
2021-08-22,1.0729000568389893
2021-08-23,1.071370005607605
2021-08-24,1.0731500387191772
2021-08-25,1.0755599737167358
2021-08-26,1.0789200067520142
2021-08-29,1.0753999948501587
2021-08-30,1.0819799900054932
2021-08-31,1.0809999704360962
2021-09-01,1.0841000080108643
2021-09-02,1.0857900381088257
2021-09-05,1.0860899686813354
2021-09-06,1.086300015449524
2021-09-07,1.0888500213623047
2021-09-08,1.08951997756958
2021-09-09,1.0836199522018433
2021-09-12,1.0843000411987305
2021-09-13,1.0891000032424927
2021-09-14,1.0859500169754028
2021-09-15,1.086899995803833
2021-09-16,1.090980052947998
2021-09-19,1.093000054359436
2021-09-20,1.0879000425338745
2021-09-21,1.0823999643325806
2021-09-22,1.0826400518417358
2021-09-23,1.0855599641799927
2021-09-26,1.083739995956421
2021-09-27,1.0825599431991577
2021-09-28,1.0857000350952148
2021-09-29,1.083799958229065
2021-09-30,1.0791000127792358
2021-10-03,1.078879952430725
2021-10-04,1.074489951133728
2021-10-05,1.0764800310134888
2021-10-06,1.0719499588012695
2021-10-07,1.073199987411499
2021-10-10,1.0730500221252441
2021-10-11,1.0715999603271484
2021-10-12,1.072909951210022
2021-10-13,1.0715700387954712
2021-10-14,1.0713200569152832
2021-10-17,1.0707999467849731
2021-10-18,1.072450041770935
2021-10-19,1.0735700130462646
2021-10-20,1.0707999467849731
2021-10-21,1.0672999620437622
2021-10-24,1.0668200254440308
2021-10-25,1.0678199529647827
2021-10-26,1.0665700435638428
2021-10-27,1.0649399757385254
2021-10-28,1.0649499893188477
2021-11-01,1.05840003490448
2021-11-02,1.054819941520691
2021-11-03,1.0592999458312988
2021-11-04,1.0585399866104126
2021-11-05,1.054479956626892
2021-11-08,1.0549299716949463
2021-11-09,1.05840003490448
2021-11-10,1.0562000274658203
2021-11-11,1.0542199611663818
2021-11-12,1.0546000003814697
2021-11-15,1.053820013999939
2021-11-16,1.0517699718475342
2021-11-17,1.0529600381851196
2021-11-18,1.0509999990463257
2021-11-19,1.0524100065231323
2021-11-22,1.0475000143051147
2021-11-23,1.0483499765396118
2021-11-24,1.0495100021362305
2021-11-25,1.0463000535964966
2021-11-26,1.048200011253357
2021-11-29,1.0437599420547485
2021-11-30,1.042099952697754
2021-12-01,1.0417399406433105
2021-12-02,1.0420500040054321
2021-12-03,1.0398499965667725
2021-12-06,1.0382399559020996
2021-12-07,1.0442999601364136
2021-12-08,1.042199969291687
2021-12-09,1.0438100099563599
2021-12-10,1.0430999994277954
2021-12-13,1.041890025138855
2021-12-14,1.0407999753952026
2021-12-15,1.040310025215149
2021-12-16,1.0436700582504272
2021-12-17,1.0414700508117676
2021-12-20,1.0380200147628784
2021-12-21,1.0394500494003296
2021-12-22,1.0418399572372437
2021-12-23,1.0413800477981567
2021-12-24,1.0404000282287598
2021-12-27,1.040310025215149
2021-12-28,1.0389900207519531
2021-12-29,1.037500023841858
2021-12-30,1.038040041923523
2021-12-31,1.0346399545669556
2022-01-03,1.0371700525283813
2022-01-04,1.037909984588623
2022-01-05,1.0336799621582031
2022-01-06,1.037600040435791
2022-01-07,1.04066002368927
2022-01-10,1.0431699752807617
2022-01-11,1.0504800081253052
2022-01-12,1.0496100187301636
2022-01-13,1.045740008354187
2022-01-14,1.0437899827957153
2022-01-17,1.0434399843215942
2022-01-18,1.0427000522613525
2022-01-19,1.0389399528503418
2022-01-20,1.038540005683899
2022-01-21,1.03725004196167
2022-01-24,1.034999966621399
2022-01-25,1.0351200103759766
2022-01-26,1.037600040435791
2022-01-27,1.0386600494384766
2022-01-28,1.0374599695205688
2022-01-31,1.0383700132369995
2022-02-01,1.0409799814224243
2022-02-02,1.0383199453353882
2022-02-03,1.038450002670288
2022-02-04,1.0524100065231323
2022-02-07,1.059399962425232
2022-02-08,1.0560699701309204
2022-02-09,1.0564299821853638
2022-02-10,1.0555800199508667
2022-02-11,1.0561000108718872
2022-02-14,1.0508500337600708
2022-02-15,1.0452500581741333
2022-02-16,1.050879955291748
2022-02-17,1.0483800172805786
2022-02-18,1.0453300476074219
2022-02-21,1.0421099662780762
2022-02-22,1.0356500148773193
2022-02-23,1.0439599752426147
2022-02-24,1.0372799634933472
2022-02-25,1.0359599590301514
2022-02-28,1.035979986190796
2022-03-01,1.0289599895477295
2022-03-02,1.0225399732589722
2022-03-03,1.022860050201416
2022-03-04,1.0162999629974365
2022-03-07,1.000480055809021
2022-03-08,1.0055999755859375
2022-03-09,1.0129599571228027
2022-03-10,1.0259100198745728
2022-03-11,1.0235799551010132
2022-03-14,1.0218000411987305
2022-03-15,1.026919960975647
2022-03-16,1.0318900346755981
2022-03-17,1.0376499891281128
2022-03-18,1.038930058479309
2022-03-21,1.0301599502563477
2022-03-22,1.0288599729537964
2022-03-23,1.0295100212097168
2022-03-24,1.024340033531189
2022-03-25,1.023229956626892
2022-03-27,1.0226500034332275
2022-03-28,1.026360034942627
2022-03-29,1.0327399969100952
2022-03-30,1.0302300453186035
2022-03-31,1.022089958190918
2022-04-03,1.0224900245666504
2022-04-04,1.0165200233459473
2022-04-05,1.0137699842453003
2022-04-06,1.0167499780654907
2022-04-07,1.0152499675750732
2022-04-10,1.016800045967102
2022-04-11,1.0131100416183472
2022-04-12,1.0095800161361694
2022-04-13,1.0175299644470215
2022-04-14,1.0203200578689575
2022-04-17,1.0190999507904053
2022-04-18,1.018399953842163
2022-04-19,1.0276299715042114
2022-04-20,1.0296499729156494
2022-04-21,1.0332800149917603
2022-04-24,1.032979965209961
