,CHSPI.SW
2018-10-02,82.39251708984375
2018-10-03,82.99040222167969
2018-10-04,82.22174072265625
2018-10-05,81.69502258300781
2018-10-08,80.81240844726562
2018-10-09,80.7697525024414
2018-10-10,79.8302001953125
2018-10-11,77.72342681884766
2018-10-12,77.85155487060547
2018-10-15,77.70917510986328
2018-10-16,79.289306640625
2018-10-17,78.99032592773438
2018-10-18,78.66291809082031
2018-10-19,79.88713836669922
2018-10-22,79.85868072509766
2018-10-23,78.29281616210938
2018-10-24,78.52057647705078
2018-10-25,77.90845489501953
2018-10-26,77.993896484375
2018-10-29,79.07575225830078
2018-10-30,79.47435760498047
2018-10-31,81.1255874633789
2018-11-01,81.48147583007812
2018-11-02,80.7982177734375
2018-11-05,81.05445861816406
2018-11-06,80.34270477294922
2018-11-07,81.19680786132812
2018-11-08,81.65230560302734
2018-11-09,81.43879699707031
2018-11-12,80.57039642333984
2018-11-13,80.49927520751953
2018-11-14,79.9725570678711
2018-11-15,78.93338775634766
2018-11-16,79.48859405517578
2018-11-19,78.6487045288086
2018-11-20,78.26435089111328
2018-11-21,78.93338775634766
2018-11-22,78.4636459350586
2018-11-23,79.0330581665039
2018-11-26,79.63094329833984
2018-11-27,79.34624481201172
2018-11-28,79.4600830078125
2018-11-29,80.34270477294922
2018-11-30,80.39962005615234
2018-12-03,81.01173400878906
2018-12-04,80.86936950683594
2018-12-05,79.70207977294922
2018-12-06,77.1824951171875
2018-12-07,77.82308959960938
2018-12-10,76.29991149902344
2018-12-11,77.5383529663086
2018-12-12,78.6487045288086
2018-12-13,78.62023162841797
2018-12-14,77.72342681884766
2018-12-17,76.49921417236328
2018-12-18,75.77326202392578
2018-12-19,75.68781280517578
2018-12-20,74.70558166503906
2018-12-21,74.83370208740234
2018-12-27,73.36751556396484
2018-12-28,74.73404693603516
2019-01-03,75.0472183227539
2019-01-04,76.57039642333984
2019-01-07,76.15756225585938
2019-01-08,76.74121856689453
2019-01-09,77.25365447998047
2019-01-10,78.3639907836914
2019-01-11,78.37821197509766
2019-01-14,77.93690490722656
2019-01-15,78.53479766845703
2019-01-16,79.06148529052734
2019-01-17,79.21810150146484
2019-01-18,80.08644104003906
2019-01-21,80.22876739501953
2019-01-22,79.88713836669922
2019-01-23,79.81598663330078
2019-01-24,79.573974609375
2019-01-25,79.573974609375
2019-01-28,79.16120147705078
2019-01-29,80.08644104003906
2019-01-30,79.94410705566406
2019-01-31,80.18609619140625
2019-02-01,80.31419372558594
2019-02-04,80.18609619140625
2019-02-05,81.58113098144531
2019-02-06,81.45303344726562
2019-02-07,80.65586853027344
2019-02-08,80.15763092041016
2019-02-11,80.71282196044922
2019-02-12,81.36761474609375
2019-02-13,81.49571228027344
2019-02-14,81.58113098144531
2019-02-15,82.33557891845703
2019-02-18,82.63449096679688
2019-02-19,82.46366882324219
2019-02-20,83.14698791503906
2019-02-21,83.2181396484375
2019-02-22,83.30353546142578
2019-02-25,83.74486541748047
2019-02-26,84.28575897216797
2019-02-27,83.64519500732422
2019-02-28,83.54552459716797
2019-03-01,83.77333068847656
2019-03-04,84.23139953613281
2019-03-05,84.27436065673828
2019-03-06,84.07394409179688
2019-03-07,84.14584350585938
2019-03-08,83.45552825927734
